Wall time,Step,Value
1774600909.217838,0,0.0
1774600909.2387803,1,0.0
1774600909.2585874,2,0.0
1774600909.2790532,3,0.0
1774600909.2989762,4,0.0
1774600909.3192863,5,0.0
1774600909.340872,6,0.0
1774600909.3609335,7,0.0
1774600909.3812907,8,0.0
1774600909.4004383,9,0.0
1774600909.4227877,10,0.0
1774600909.442475,11,0.0
1774600909.4617915,12,0.0
1774600909.481968,13,0.0
1774600909.5033085,14,0.0
1774600909.5242305,15,0.0
1774600909.5439572,16,0.0
1774600909.5633688,17,0.0
1774600909.5850015,18,0.0
1774600909.6043394,19,0.0
1774600909.625326,20,0.0
1774600909.6485279,21,0.0
1774600909.6645608,22,0.0
1774600909.6872354,23,0.0
1774600909.707423,24,0.0
1774600909.7272844,25,0.0
1774600909.7472196,26,0.0
1774600909.767091,27,0.0
1774600909.7884731,28,0.0
1774600909.8081965,29,0.0
1774600909.8289168,30,0.0
1774600909.8513007,31,0.0
1774600909.8709347,32,0.0
1774600909.8895562,33,0.0
1774600909.9106896,34,0.0
1774600909.9310486,35,0.0
1774600909.9516382,36,0.0
1774600909.9720602,37,0.0
1774600909.9906943,38,0.0
1774600910.0150938,39,0.0
1774600910.0336661,40,0.0
1774600910.052579,41,0.0
1774600910.074744,42,0.0
1774600910.0941358,43,0.0
1774600910.114912,44,0.0
1774600910.1360898,45,0.0
1774600910.1556377,46,0.0
1774600910.1767871,47,0.0
1774600910.1972084,48,0.0
1774600910.2163823,49,0.0
1774600910.2355676,50,0.0
1774600910.259473,51,0.0
1774600910.2776906,52,0.0
1774600910.2963572,53,0.0
1774600910.3209426,54,0.0
1774600910.338209,55,0.0
1774600910.3584325,56,0.0
1774600910.3801484,57,0.0
1774600910.4000566,58,0.0
1774600910.419032,59,0.0
1774600910.4396238,60,0.0
1774600910.4617317,61,0.0
1774600910.4815412,62,0.0
1774600910.5028548,63,0.0
1774600910.5212286,64,0.0
1774600910.5431473,65,0.0
1774600910.562521,66,0.0
1774600910.583075,67,0.0
1774600910.6037042,68,0.0
1774600910.6245594,69,0.0
1774600910.6444666,70,-3.085963726043701
1774600910.6655295,71,-3.0770504474639893
1774600910.6855037,72,-3.059890031814575
1774600910.7110026,73,-3.0457096099853516
1774600910.7264032,74,-3.059128522872925
1774600910.7462032,75,-3.078364610671997
1774600910.7669964,76,-3.1186723709106445
1774600910.7863414,77,-3.1186723709106445
1774600910.8078694,78,-3.122119903564453
1774600910.8282232,79,-3.093193292617798
1774600910.8467207,80,-3.0364482402801514
1774600910.868507,81,-2.9794111251831055
1774600910.8877912,82,-2.952679395675659
1774600910.908288,83,-2.8710927963256836
1774600910.929555,84,-2.8564233779907227
1774600910.9498253,85,-2.8498313426971436
1774600910.9711132,86,-2.8097400665283203
1774600910.9912312,87,-2.7896742820739746
1774600911.0106537,88,-2.7421696186065674
1774600911.0313225,89,-2.738023519515991
1774600911.0504413,90,-2.709200143814087
1774600911.0713475,91,-2.693525791168213
1774600911.0925689,92,-2.659402847290039
1774600911.1134303,93,-2.67414927482605
1774600911.1339386,94,-2.705150842666626
1774600911.1543298,95,-2.7237441539764404
1774600911.1758447,96,-2.7237441539764404
1774600911.1971266,97,-2.7279202938079834
1774600911.2154503,98,-2.7279202938079834
1774600911.2348971,99,-2.727780818939209
1774600911.2534149,100,-2.767778158187866
1774600911.2739785,101,-2.776263952255249
1774600911.2957325,102,-2.8038036823272705
1774600911.3173635,103,-2.810342788696289
1774600911.336821,104,-2.8218319416046143
1774600911.3573275,105,-2.829911947250366
1774600911.3775678,106,-2.829467535018921
1774600911.398161,107,-2.847524404525757
1774600911.4193847,108,-2.8518598079681396
1774600911.4399378,109,-2.8680481910705566
1774600911.4603467,110,-2.878145694732666
1774600911.4806318,111,-2.878558874130249
1774600911.499208,112,-2.8747432231903076
1774600911.5201535,113,-2.863290786743164
1774600911.5389962,114,-2.858839511871338
1774600911.5609705,115,-2.858543872833252
1774600911.5803206,116,-2.8644027709960938
1774600911.6041899,117,-2.8450870513916016
1774600911.621225,118,-2.8390181064605713
1774600911.6423104,119,-2.821425199508667
1774600911.6629615,120,-2.8109471797943115
1774600911.6831825,121,-2.8052525520324707
1774600911.7044048,122,-2.7730987071990967
1774600911.7241285,123,-2.7730987071990967
1774600911.7451832,124,-2.7409403324127197
1774600911.7641613,125,-2.7409403324127197
1774600911.7856333,126,-2.736006021499634
1774600911.805642,127,-2.6959328651428223
1774600911.8258505,128,-2.6586220264434814
1774600911.849665,129,-2.6535425186157227
1774600911.8662138,130,-2.6643059253692627
1774600911.8879716,131,-2.69950008392334
1774600911.9075649,132,-2.7031679153442383
1774600911.9288573,133,-2.7178730964660645
1774600911.948901,134,-2.69936203956604
1774600911.9685764,135,-2.6722662448883057
1774600911.9897776,136,-2.626042604446411
1774600912.0097828,137,-2.6185998916625977
1774600912.0299916,138,-2.5982210636138916
1774600912.0495253,139,-2.5660042762756348
1774600912.069867,140,-2.5548949241638184
1774600912.0907192,141,-2.5333609580993652
1774600912.1112459,142,-2.5340213775634766
1774600912.132628,143,-2.5271661281585693
1774600912.151737,144,-2.5263822078704834
1774600912.1725411,145,-2.5281529426574707
1774600912.1934652,146,-2.5175840854644775
1774600912.2132537,147,-2.5175840854644775
1774600912.2343493,148,-2.503779172897339
1774600912.2568815,149,-2.4600391387939453
1774600912.275841,150,-2.4404141902923584
1774600912.294642,151,-2.428210496902466
1774600912.316034,152,-2.428210496902466
1774600912.3360934,153,-2.363845109939575
1774600912.355198,154,-2.35579514503479
1774600912.3755908,155,-2.3556110858917236
1774600912.3966918,156,-2.2707231044769287
1774600912.417365,157,-2.2430169582366943
1774600912.4374096,158,-2.230409622192383
1774600912.458258,159,-2.2272462844848633
1774600912.4773474,160,-2.2001876831054688
1774600912.49844,161,-2.122537851333618
1774600912.5194526,162,-2.045832872390747
1774600912.5392232,163,-1.9768387079238892
1774600912.559372,164,-2.0014450550079346
1774600912.5797896,165,-1.8339959383010864
1774600912.600423,166,-1.86983060836792
1774600912.6200619,167,-1.7875713109970093
1774600912.6403441,168,-1.66349458694458
1774600912.6611183,169,-1.522770643234253
1774600912.6821973,170,-1.4901247024536133
1774600912.7016308,171,-1.4092988967895508
1774600912.7226737,172,-1.2869707345962524
1774600912.741827,173,-1.1880061626434326
1774600912.7628095,174,-1.1246830224990845
1774600912.7833624,175,-1.1030186414718628
1774600912.8036342,176,-1.085811734199524
1774600912.824032,177,-1.051133394241333
1774600912.8449833,178,-1.0518118143081665
1774600912.8649414,179,-1.0691906213760376
1774600912.8857634,180,-1.0750675201416016
1774600912.9066925,181,-1.0974915027618408
1774600912.926506,182,-1.1225814819335938
1774600912.9458082,183,-1.1424000263214111
1774600912.966677,184,-1.1637413501739502
1774600912.9874275,185,-1.1781827211380005
1774600913.0063853,186,-1.1750514507293701
1774600913.0278192,187,-1.174608826637268
1774600913.0479534,188,-1.5403852462768555
1774600913.0675614,189,-1.5887430906295776
1774600913.0888906,190,-1.5904256105422974
1774600913.1088068,191,-1.5843067169189453
1774600913.129454,192,-1.6106550693511963
1774600913.1499991,193,-1.6414164304733276
1774600913.169771,194,-1.6658830642700195
1774600913.1915455,195,-1.69657564163208
