Wall time,Step,Value
1774600909.2188063,0,0.0
1774600909.2398846,1,0.0
1774600909.25941,2,0.0
1774600909.2800746,3,0.0
1774600909.3003044,4,0.0
1774600909.3209743,5,0.0
1774600909.3417838,6,0.0
1774600909.3617477,7,0.0
1774600909.382424,8,0.0
1774600909.4014726,9,0.0
1774600909.4243302,10,0.0
1774600909.443198,11,0.0
1774600909.4628954,12,0.0
1774600909.48298,13,0.0
1774600909.504708,14,0.0
1774600909.5248554,15,0.0
1774600909.5450187,16,0.0
1774600909.5641031,17,0.0
1774600909.5863018,18,0.0
1774600909.6054986,19,0.0
1774600909.6261299,20,0.0
1774600909.6498835,21,0.0
1774600909.6653328,22,0.0
1774600909.6888354,23,0.0
1774600909.7096481,24,0.0
1774600909.728286,25,0.0
1774600909.748194,26,0.0
1774600909.7681367,27,0.0
1774600909.7897623,28,0.0
1774600909.8090873,29,0.0
1774600909.8297641,30,0.0
1774600909.85294,31,0.0
1774600909.8723547,32,0.0
1774600909.89047,33,0.0
1774600909.9115999,34,0.0
1774600909.9320524,35,0.0
1774600909.9531689,36,0.0
1774600909.9735754,37,0.0
1774600909.991904,38,0.0
1774600910.015941,39,0.0
1774600910.0351663,40,0.0
1774600910.0535045,41,0.0
1774600910.0762095,42,0.0
1774600910.0951102,43,0.0
1774600910.1166165,44,0.0
1774600910.1369784,45,0.0
1774600910.1570318,46,0.0
1774600910.178059,47,0.0
1774600910.1982052,48,0.0
1774600910.2178292,49,0.0
1774600910.2365127,50,0.0
1774600910.260293,51,0.0
1774600910.2784362,52,0.0
1774600910.2970555,53,0.0
1774600910.3219736,54,0.0
1774600910.3396952,55,0.0
1774600910.3591459,56,0.0
1774600910.3810194,57,0.0
1774600910.4007592,58,0.0
1774600910.4199455,59,0.0
1774600910.4404964,60,0.0
1774600910.4632154,61,0.0
1774600910.4826589,62,0.0
1774600910.5042942,63,0.0
1774600910.5220008,64,0.0
1774600910.5439365,65,0.0
1774600910.5634797,66,0.0
1774600910.584709,67,0.0
1774600910.604926,68,0.0
1774600910.625713,69,0.0
1774600910.645784,70,-2.404557228088379
1774600910.6664536,71,-2.409144639968872
1774600910.6867898,72,-2.422701358795166
1774600910.7125642,73,-2.4319427013397217
1774600910.727314,74,-2.436225175857544
1774600910.7474306,75,-2.4382829666137695
1774600910.768277,76,-2.4346981048583984
1774600910.7874746,77,-2.4346981048583984
1774600910.8088453,78,-2.4258949756622314
1774600910.8289611,79,-2.4112706184387207
1774600910.8474138,80,-2.416071891784668
1774600910.869274,81,-2.438110828399658
1774600910.888578,82,-2.467481851577759
1774600910.9094656,83,-2.4744882583618164
1774600910.9302323,84,-2.487520217895508
1774600910.9507232,85,-2.491354465484619
1774600910.9725404,86,-2.4875378608703613
1774600910.9928422,87,-2.4897007942199707
1774600911.0114279,88,-2.5072624683380127
1774600911.0327826,89,-2.5072031021118164
1774600911.051516,90,-2.489217519760132
1774600911.072296,91,-2.481250047683716
1774600911.0937614,92,-2.464672088623047
1774600911.114544,93,-2.4719736576080322
1774600911.135411,94,-2.479926824569702
1774600911.156481,95,-2.490511417388916
1774600911.177442,96,-2.490511417388916
1774600911.1986933,97,-2.495176315307617
1774600911.2169616,98,-2.495176315307617
1774600911.235624,99,-2.4885356426239014
1774600911.2543206,100,-2.516252279281616
1774600911.274876,101,-2.5117671489715576
1774600911.2967782,102,-2.4994068145751953
1774600911.3187978,103,-2.4932429790496826
1774600911.337444,104,-2.481180191040039
1774600911.3579197,105,-2.47180438041687
1774600911.3783088,106,-2.4654312133789062
1774600911.3989491,107,-2.4737696647644043
1774600911.4208252,108,-2.477019786834717
1774600911.441695,109,-2.482595205307007
1774600911.4619882,110,-2.4810047149658203
1774600911.4819582,111,-2.4763176441192627
1774600911.5001595,112,-2.469003677368164
1774600911.52139,113,-2.463994026184082
1774600911.5397305,114,-2.4591100215911865
1774600911.5620983,115,-2.4328360557556152
1774600911.5816448,116,-2.4147090911865234
1774600911.6055672,117,-2.383619546890259
1774600911.6222353,118,-2.369976043701172
1774600911.6431124,119,-2.3495380878448486
1774600911.6639283,120,-2.345681667327881
1774600911.6839209,121,-2.3589882850646973
1774600911.7052853,122,-2.374584436416626
1774600911.7248425,123,-2.374584436416626
1774600911.7466378,124,-2.3473124504089355
1774600911.7657588,125,-2.3473124504089355
1774600911.7865021,126,-2.3382697105407715
1774600911.807331,127,-2.313070774078369
1774600911.8265715,128,-2.3183603286743164
1774600911.8510497,129,-2.324481248855591
1774600911.8677294,130,-2.341322183609009
1774600911.8891056,131,-2.3668372631073
1774600911.9088304,132,-2.3722972869873047
1774600911.9306014,133,-2.3860135078430176
1774600911.9495575,134,-2.383129358291626
1774600911.969525,135,-2.3782925605773926
1774600911.9911616,136,-2.369709014892578
1774600912.0109622,137,-2.373512029647827
1774600912.0312955,138,-2.3904716968536377
1774600912.0502717,139,-2.3993051052093506
1774600912.0711658,140,-2.4066877365112305
1774600912.0916207,141,-2.408489227294922
1774600912.1122282,142,-2.411837577819824
1774600912.133898,143,-2.4120278358459473
1774600912.1524048,144,-2.4154839515686035
1774600912.173477,145,-2.418811321258545
1774600912.195093,146,-2.431614637374878
1774600912.214899,147,-2.431614637374878
1774600912.237421,148,-2.4541563987731934
1774600912.2578928,149,-2.458946704864502
1774600912.2772672,150,-2.443915367126465
1774600912.295324,151,-2.429896593093872
1774600912.3170698,152,-2.429896593093872
1774600912.3375363,153,-2.3696210384368896
1774600912.3567286,154,-2.364358901977539
1774600912.3769362,155,-2.3645336627960205
1774600912.3980334,156,-2.3086140155792236
1774600912.4184294,157,-2.296546220779419
1774600912.4381611,158,-2.2581138610839844
1774600912.4589305,159,-2.2368979454040527
1774600912.4780312,160,-2.1948602199554443
1774600912.4992838,161,-2.1072933673858643
1774600912.5205717,162,-2.067342519760132
1774600912.5399868,163,-2.0453739166259766
1774600912.560052,164,-1.4748954772949219
1774600912.5811167,165,-1.7646607160568237
1774600912.6011674,166,-1.3833144903182983
1774600912.6212873,167,-1.2745717763900757
1774600912.6416209,168,-1.225803017616272
1774600912.6622381,169,-1.1760890483856201
1774600912.683451,170,-1.1611696481704712
1774600912.7027943,171,-1.1316261291503906
1774600912.7237694,172,-1.0573005676269531
1774600912.742558,173,-1.002076268196106
1774600912.7635002,174,-0.952974796295166
1774600912.7845972,175,-0.9223107695579529
1774600912.8047206,176,-0.8861725330352783
1774600912.8253458,177,-0.8314459919929504
1774600912.8464744,178,-0.7914478778839111
1774600912.8657687,179,-0.7685327529907227
1774600912.886849,180,-0.7601588368415833
1774600912.9082432,181,-0.7460190653800964
1774600912.928096,182,-0.7249886989593506
1774600912.946842,183,-0.7068560719490051
1774600912.9678788,184,-0.6826921701431274
1774600912.988385,185,-0.6638259291648865
1774600913.0075111,186,-0.6530221104621887
1774600913.0287101,187,-0.6538489460945129
1774600913.049256,188,-0.14397716522216797
1774600913.0686288,189,-0.09962768107652664
1774600913.090142,190,-0.08800505101680756
1774600913.1095674,191,-0.07954810559749603
1774600913.1303136,192,-0.07629982382059097
1774600913.1508963,193,-0.07328156381845474
1774600913.1712897,194,-0.07151085138320923
1774600913.1929862,195,-0.0691002681851387
1774600913.211452,196,-0.06553061306476593
1774600913.232488,197,-0.06169623136520386
