2.547252412352019602e-01,-5.562286954293947927e-01,8.650220117495889260e-01,8.460385554947004172e-01,-1.138566423679099326e-03,-2.302364891450429940e-02,-5.326231105327665638e-01,-7.164653582348980664e-03,3.107130186237929900e-02,-3.638886165366415903e-02,-3.373812155240566187e-18,1.630366944435463622e-02,-4.473740893706513663e-03,1.300039459093885463e-01,3.390366676458233391e-02,-7.386068951235381236e-03,-4.463269061326585047e-02,-8.400235929119726289e-03,-5.272247801484601648e-02,6.965235099104574723e-02,1.056888727212868390e-01,-2.032128680402501830e-01,3.278400494201512139e-01,3.722447099277741978e-01,7.500901963162974473e-02,8.463486955450789939e-02,-1.525242128687449572e-01,4.142204277434625714e-01,5.476612060197177945e-01
2.548008250290974552e-01,-5.563793981305770187e-01,8.650492122421289398e-01,8.463390937219359422e-01,-1.281317277968927523e-03,-2.279973114616918109e-02,-5.321547415213230270e-01,-7.075412796935354187e-03,3.139996353359119502e-02,-3.661885407919449054e-02,1.450498737432028622e-18,1.718307731655378812e-02,-4.452210385945615592e-03,1.303800763031552623e-01,3.321516600301616801e-02,-7.299462886306696055e-03,-4.498696157143575181e-02,-7.669132496139381694e-03,-5.285971184603717454e-02,7.070111551422758600e-02,1.060730549085084490e-01,-2.030759149610558978e-01,3.279869907389171280e-01,3.729647245315396153e-01,7.606970251066287603e-02,8.594268388917022938e-02,-1.538571794805079496e-01,4.106951078247876863e-01,5.448306483636320419e-01
2.548294700954821246e-01,-5.564339727005794822e-01,8.650579313871914477e-01,8.464381391043694913e-01,-1.328617234120173804e-03,-2.272486821781987548e-02,-5.320002742576910304e-01,-7.051925067175618053e-03,3.151132771924727849e-02,-3.672507897549672634e-02,1.063393410200967332e-19,1.754310934794013968e-02,-4.449946113420115944e-03,1.305030341813567529e-01,3.298725110964169371e-02,-7.269114869675550455e-03,-4.516255891550202684e-02,-7.329997629864266201e-03,-5.292573139367217488e-02,7.105636623692057618e-02,1.061119779565113941e-01,-2.030786576823359335e-01,3.279787857499744108e-01,3.731678946681325493e-01,7.656500201335533773e-02,8.615030923190490630e-02,-1.543320556972094804e-01,4.096156687921260198e-01,5.460129305237233499e-01
2.546860269321220560e-01,-5.565454370576511378e-01,8.650461639481258347e-01,8.466476146822523585e-01,-1.707793909387434481e-03,-2.255175399316391646e-02,-5.316731311479317990e-01,-7.996350219657090419e-03,3.231163804105490617e-02,-3.699108959825071763e-02,-1.824756812376799131e-18,1.773843707156263008e-02,-4.343364453340208854e-03,1.309406575728968847e-01,3.202759809114080758e-02,-7.248888478139687772e-03,-4.520738562044715469e-02,-7.448601407016178580e-03,-5.301467062861473650e-02,7.131571821641422004e-02,1.060542071690195043e-01,-2.028203490103732409e-01,3.275093344728552958e-01,3.724750688098582008e-01,7.669775326076853916e-02,8.666897752076586914e-02,-1.542725927342374626e-01,4.086610912227985337e-01,5.483242359090145790e-01
2.544434479342511657e-01,-5.567402300289157058e-01,8.650328378011364894e-01,8.468896567140696829e-01,-2.147080417579303596e-03,-2.235053780412309121e-02,-5.312944125965101128e-01,-9.093060558720141365e-03,3.324376364815225665e-02,-3.729887033743054664e-02,-3.007333920752010041e-18,1.795364643000614893e-02,-4.250395426404802654e-03,1.314519384520919099e-01,3.090992255278718348e-02,-7.254026598514297375e-03,-4.520107564887845819e-02,-7.634553393561102630e-03,-5.304725557973453964e-02,7.160636339509666992e-02,1.059344796041413045e-01,-2.025366315116960414e-01,3.266515889380665061e-01,3.704390940523619724e-01,7.685952058183853630e-02,8.747399286892663939e-02,-1.541012153280053587e-01,4.075758543265960987e-01,5.525961648508125323e-01
2.543084560877096889e-01,-5.568047775954892975e-01,8.650184712412039012e-01,8.471515239041370604e-01,-2.407976188946519928e-03,-2.223266130583485822e-02,-5.308805948316727141e-01,-9.690063733951379335e-03,3.380813907636968235e-02,-3.738347941913525846e-02,-3.723980559398684579e-19,1.803910616473360790e-02,-4.247295920917938152e-03,1.318760403269306214e-01,3.030002856203781181e-02,-7.490875368545151999e-03,-4.513937013380396601e-02,-7.538341397524778338e-03,-5.290852361612737725e-02,7.180192342372661296e-02,1.057183521918126784e-01,-2.034566657014435231e-01,3.258303456391918318e-01,3.693911973137194438e-01,7.823196690696181121e-02,8.827075104679039941e-02,-1.539147443286900674e-01,4.063539960934750561e-01,5.548692220270904363e-01
2.541612764547876435e-01,-5.569007572275470608e-01,8.650072175202507818e-01,8.475213083796788727e-01,-2.703263078588794346e-03,-2.211453812188749271e-02,-5.302935709725128399e-01,-1.075412936710760589e-02,3.435101109410636233e-02,-3.747195180033426748e-02,-1.241324095864186350e-19,1.809944701049535573e-02,-4.219221991430958593e-03,1.325241941802408341e-01,2.962234161267685711e-02,-7.667823671734956548e-03,-4.513835198901645918e-02,-7.538130323631341868e-03,-5.264744774699046254e-02,7.159133473546192006e-02,1.055038579807086596e-01,-2.042024126174001308e-01,3.250326358301494634e-01,3.677913278480299253e-01,7.952461212460586182e-02,8.960926022813850422e-02,-1.531796015880964867e-01,4.049883067712163887e-01,5.540939355368165176e-01
2.541190637918901429e-01,-5.570045359191381218e-01,8.650036226587993760e-01,8.478667767782995801e-01,-2.924907696340913344e-03,-2.203733415371094892e-02,-5.297430789108447113e-01,-1.191997265677184614e-02,3.467513942847887110e-02,-3.755269917016796494e-02,1.592900981810329410e-18,1.814272952630126626e-02,-4.174963697124460006e-03,1.331690190110078886e-01,2.912216014288657867e-02,-7.773388536210601094e-03,-4.513187113811461398e-02,-7.650688918957769362e-03,-5.226242190763246559e-02,7.105832379493205730e-02,1.055088541261890445e-01,-2.043733903291684861e-01,3.243783906374435033e-01,3.660406334526296601e-01,8.030780833075355785e-02,9.055814005693686719e-02,-1.523473878446469087e-01,4.064333972140248830e-01,5.510543820124060854e-01
2.540785697083922101e-01,-5.570420592018270334e-01,8.650003234709942035e-01,8.481213630979017593e-01,-3.156517733087777725e-03,-2.222159372882264936e-02,-5.293263554981062491e-01,-1.277884553894619718e-02,3.483565078414577881e-02,-3.835307047364949762e-02,1.496506212909498313e-18,1.840627971659081208e-02,-4.064868764938398341e-03,1.341186174762483418e-01,2.894888869104201776e-02,-8.626192019530090627e-03,-4.519057103645963969e-02,-7.382349976442784990e-03,-5.194004433982615798e-02,7.022886657091065299e-02,1.052924392265057185e-01,-2.044720688380925466e-01,3.244381038098896330e-01,3.649087480792406191e-01,8.039999805199306293e-02,9.108293246340741500e-02,-1.527134726165836620e-01,4.086515234955482301e-01,5.513253018433831310e-01
2.540881895624085840e-01,-5.571071577039901079e-01,8.649992447373466842e-01,8.482447068123859513e-01,-3.268884880203029933e-03,-2.231103825708903240e-02,-5.291242286347306312e-01,-1.320090495665898582e-02,3.491494955624948465e-02,-3.878578024071970692e-02,-4.558553271495792386e-18,1.859993003600574069e-02,-3.988552935309757838e-03,1.345771054867131999e-01,2.886853382307982135e-02,-9.131265835463163449e-03,-4.512591850561738227e-02,-7.236699758898466721e-03,-5.173529568480599722e-02,6.978680884227192460e-02,1.052140684505550733e-01,-2.044974327660168123e-01,3.245255541140708022e-01,3.645515145721419659e-01,8.032990710202095319e-02,9.115461471370243929e-02,-1.530424291763691769e-01,4.101735039287833784e-01,5.514232939997179006e-01
