Wall time,Step,Value
1774600909.2187128,0,-1.02532160282135
1774600909.2398634,1,-1.02532160282135
1774600909.2592964,2,-1.02532160282135
1774600909.279925,3,-1.02532160282135
1774600909.3000298,4,-1.02532160282135
1774600909.3207707,5,-1.02532160282135
1774600909.3417702,6,-1.02532160282135
1774600909.3616428,7,-1.02532160282135
1774600909.3823018,8,-1.02532160282135
1774600909.4013276,9,-1.02532160282135
1774600909.4242878,10,-1.02532160282135
1774600909.4430487,11,-1.02532160282135
1774600909.4627728,12,-1.02532160282135
1774600909.4828582,13,-1.02532160282135
1774600909.5044653,14,-1.02532160282135
1774600909.5248432,15,-1.02532160282135
1774600909.5449731,16,-1.02532160282135
1774600909.563928,17,-1.02532160282135
1774600909.5862594,18,-1.02532160282135
1774600909.605376,19,-1.02532160282135
1774600909.6261127,20,-1.02532160282135
1774600909.6497848,21,-1.02532160282135
1774600909.665216,22,-1.02532160282135
1774600909.6885707,23,-1.02532160282135
1774600909.7093828,24,-1.02532160282135
1774600909.7282667,25,-1.02532160282135
1774600909.748181,26,-1.02532160282135
1774600909.7679317,27,-1.02532160282135
1774600909.7896159,28,-1.02532160282135
1774600909.8090734,29,-1.02532160282135
1774600909.8297155,30,-1.02532160282135
1774600909.8527637,31,-1.02532160282135
1774600909.8722844,32,-1.02532160282135
1774600909.8904548,33,-1.02532160282135
1774600909.9115853,34,-1.02532160282135
1774600909.9319127,35,-1.02532160282135
1774600909.9531212,36,-1.02532160282135
1774600909.973474,37,-1.02532160282135
1774600909.991819,38,-1.02532160282135
1774600910.0158966,39,-1.02532160282135
1774600910.0348995,40,-1.02532160282135
1774600910.05349,41,-1.02532160282135
1774600910.075996,42,-1.02532160282135
1774600910.095009,43,-1.02532160282135
1774600910.1164234,44,-1.02532160282135
1774600910.136965,45,-1.02532160282135
1774600910.157015,46,-1.02532160282135
1774600910.1780462,47,-1.02532160282135
1774600910.198048,48,-1.02532160282135
1774600910.2176778,49,-1.02532160282135
1774600910.2364995,50,-1.02532160282135
1774600910.2601306,51,-1.02532160282135
1774600910.278421,52,-1.02532160282135
1774600910.2970426,53,-1.02532160282135
1774600910.3217556,54,-1.02532160282135
1774600910.3394957,55,-1.02532160282135
1774600910.3591342,56,-1.02532160282135
1774600910.3810034,57,-1.02532160282135
1774600910.4006386,58,-1.02532160282135
1774600910.4199297,59,-1.02532160282135
1774600910.440354,60,-1.02532160282135
1774600910.4631176,61,-1.02532160282135
1774600910.4825292,62,-1.02532160282135
1774600910.5042505,63,-1.02532160282135
1774600910.5218399,64,-1.02532160282135
1774600910.5438037,65,-1.02532160282135
