0.03,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06627,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.98996,-0.0201416,-0.00537109,
0.06,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06589,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.98996,-0.0201416,-0.00537109,
0.09,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06608,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.98996,-0.0201416,-0.00537109,
0.12,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06608,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.98996,-0.0201416,-0.00537109,
0.15,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06608,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.99015,-0.0201416,-0.00537109,
0.18,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06608,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.98996,-0.0201416,-0.00537109,
0.21,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06589,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.99015,-0.0201416,-0.00537109,
0.24,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06589,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.99015,-0.0201416,-0.00537109,
0.27,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06589,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.99015,-0.0201416,-0.00537109,
0.3,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06608,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.98996,-0.0201416,-0.00537109,
0.33,0.860229,1.96997,0.0126953,0.461426,-0.038208,-0.141968,2.06608,0.25354,2.47156,-0.0507812,0.23877,0.0202637,0.00231934,1.98996,-0.0201416,-0.00537109,
