0.03,0,0,0,0,0,0,0,0,
0.06,0,10,0,0,0,10,0,0,
0.09,0,10,0,0,0,10,0,0,
0.12,0,10,0,0,0,10,0,0,
0.15,0,10,0,0,0,10,0,0,
0.18,0,10,0,0,0,10,0,0,
0.21,0,10,0,0,0,10,0,0,
0.24,0,10,0,0,0,10,0,0,
0.27,0,10,0,0,0,10,0,0,
0.3,0,10,0,0,0,10,0,0,
0.33,0,10,0,0,0,10,0,0,
0.36,0,10,0,0,0,10,0,0,
0.39,0,10,0,0,0,10,0,0,
0.42,0,10,0,0,0,10,0,0,
0.45,0,10,0,0,0,10,0,0,
0.48,0,10,0,0,0,10,0,0,
0.51,0,10,0,0,0,10,0,0,
0.54,0,10,0,0,0,10,0,0,
0.57,0,10,0,0,0,10,0,0,
0.6,0,10,0,0,0,10,0,0,
0.63,0,10,0,0,0,10,0,0,
0.66,0,10,0,0,0,10,0,0,
0.69,0,10,0,0,0,10,0,0,
0.72,0,10,0,0,0,10,0,0,
0.75,0,10,0,0,0,10,0,0,
0.78,0,10,0,0,0,10,0,0,
0.81,0,10,0,0,0,10,0,0,
0.84,0,10,0,0,0,10,0,0,
0.87,0,10,0,0,0,10,0,0,
0.9,0,10,0,0,0,10,0,0,
0.93,0,10,0,0,0,10,0,0,
0.96,0,10,0,0,0,10,0,0,
0.99,0,10,0,0,0,10,0,0,
1.02,0,10,0,0,0,10,0,0,
1.05,0,10,0,0,0,10,0,0,
1.08,0,10,0,0,0,10,0,0,
1.11,0,10,0,0,0,10,0,0,
1.14,0,10,0,0,0,10,0,0,
1.17,0,10,0,0,0,10,0,0,
1.2,0,10,0,0,0,10,0,0,
1.23,0,10,0,0,0,10,0,0,
1.26,0,10,0,0,0,10,0,0,
1.29,0,10,0,0,0,10,0,0,
1.32,0,10,0,0,0,10,0,0,
1.35,0,10,0,0,0,10,0,0,
1.38,0,10,0,0,0,10,0,0,
1.41,0,10,0,0,0,10,0,0,
1.44,0,10,0,0,0,10,0,0,
1.47,0,10,0,0,0,10,0,0,
1.5,0,10,0,0,0,10,0,0,
1.53,0,10,0,0,0,10,0,0,
1.56,0,5,0,0,0,5,0,0,
1.59,0,5,0,0,0,5,0,0,
1.62,0,5,0,0,0,5,0,0,
1.65,0,5,0,0,0,5,0,0,
1.68,0,5,0,0,0,5,0,0,
1.71,0,5,0,0,0,5,0,0,
1.74,0,5,0,0,0,5,0,0,
1.77,0,5,0,0,0,5,0,0,
1.8,0,5,0,0,0,5,0,0,
1.83,0,5,0,0,0,5,0,0,
1.86,0,5,0,0,0,5,0,0,
1.89,0,5,0,0,0,5,0,0,
1.92,0,5,0,0,0,5,0,0,
1.95,0,5,0,0,0,5,0,0,
1.98,0,5,0,0,0,5,0,0,
2.01,0,5,0,0,0,5,0,0,
2.04,0,5,0,0,0,5,0,0,
2.07,0,5,0,0,0,5,0,0,
2.1,0,5,0,0,0,5,0,0,
2.13,0,5,0,0,0,5,0,0,
2.16,0,5,0,0,0,5,0,0,
2.19,0,5,0,0,0,5,0,0,
2.22,0,5,0,0,0,5,0,0,
2.25,0,5,0,0,0,5,0,0,
2.28,0,5,0,0,0,5,0,0,
2.31,0,5,0,0,0,5,0,0,
2.34,0,5,0,0,0,5,0,0,
2.37,0,5,0,0,0,5,0,0,
2.4,0,5,0,0,0,5,0,0,
2.43,0,5,0,0,0,5,0,0,
2.46,0,5,0,0,0,5,0,0,
2.49,0,5,0,0,0,5,0,0,
2.52,0,5,0,0,0,5,0,0,
2.55,0,5,0,0,0,5,0,0,
2.58,0,5,0,0,0,5,0,0,
2.61,0,5,0,0,0,5,0,0,
2.64,0,5,0,0,0,5,0,0,
2.67,0,5,0,0,0,5,0,0,
2.7,0,5,0,0,0,5,0,0,
2.73,0,5,0,0,0,5,0,0,
2.76,0,5,0,0,0,5,0,0,
2.79,0,5,0,0,0,5,0,0,
2.82,0,5,0,0,0,5,0,0,
2.85,0,5,0,0,0,5,0,0,
2.88,0,5,0,0,0,5,0,0,
2.91,0,5,0,0,0,5,0,0,
2.94,0,5,0,0,0,5,0,0,
2.97,0,5,0,0,0,5,0,0,
3,0,5,0,0,0,5,0,0,
3.03,0,5,0,0,0,5,0,0,
3.06,0,5,0,0,0,5,0,0,
3.09,0,5,0,0,0,5,0,0,
3.12,0,5,0,0,0,5,0,0,
3.15,0,5,0,0,0,5,0,0,
3.18,0,5,0,0,0,5,0,0,
3.21,0,5,0,0,0,5,0,0,
3.24,0,5,0,0,0,5,0,0,
3.27,0,5,0,0,0,5,0,0,
3.3,0,5,0,0,0,5,0,0,
3.33,0,5,0,0,0,5,0,0,
3.36,0,5,0,0,0,5,0,0,
3.39,0,5,0,0,0,5,0,0,
3.42,0,5,0,0,0,5,0,0,
3.45,0,5,0,0,0,5,0,0,
3.48,0,5,0,0,0,5,0,0,
3.51,0,5,0,0,0,5,0,0,
3.54,0,5,0,0,0,5,0,0,
3.57,0,5,0,0,0,5,0,0,
3.6,0,5,0,0,0,5,0,0,
3.63,0,5,0,0,0,5,0,0,
3.66,0,5,0,0,0,5,0,0,
3.69,0,5,0,0,0,5,0,0,
3.72,0,5,0,0,0,5,0,0,
3.75,0,5,0,0,0,5,0,0,
3.78,0,5,0,0,0,5,0,0,
3.81,0,5,0,0,0,5,0,0,
3.84,0,5,0,0,0,5,0,0,
3.87,0,5,0,0,0,5,0,0,
3.9,0,5,0,0,0,5,0,0,
3.93,0,5,0,0,0,5,0,0,
3.96,0,5,0,0,0,5,0,0,
3.99,0,5,0,0,0,5,0,0,
4.02,0,5,0,0,0,5,0,0,
4.05,0,5,0,0,0,5,0,0,
4.08,0,5,0,0,0,5,0,0,
4.11,0,5,0,0,0,5,0,0,
4.14,0,5,0,0,0,5,0,0,
4.17,0,5,0,0,0,5,0,0,
4.2,0,5,0,0,0,5,0,0,
4.23,0,5,0,0,0,5,0,0,
4.26,0,5,0,0,0,5,0,0,
4.29,0,5,0,0,0,5,0,0,
4.32,0,5,0,0,0,5,0,0,
4.35,0,5,0,0,0,5,0,0,
4.38,0,5,0,0,0,5,0,0,
4.41,0,5,0,0,0,5,0,0,
4.44,0,5,0,0,0,5,0,0,
4.47,0,5,0,0,0,5,0,0,
4.5,0,5,0,0,0,5,0,0,
4.53,0,5,0,0,0,5,0,0,
4.56,0,5,0,0,0,5,0,0,
4.59,0,5,0,0,0,5,0,0,
4.62,0,5,0,0,0,5,0,0,
4.65,0,5,0,0,0,5,0,0,
4.68,0,5,0,0,0,5,0,0,
4.71,0,5,0,0,0,5,0,0,
4.74,0,5,0,0,0,5,0,0,
4.77,0,5,0,0,0,5,0,0,
4.8,0,5,0,0,0,5,0,0,
4.83,0,5,0,0,0,5,0,0,
4.86,0,5,0,0,0,5,0,0,
4.89,0,5,0,0,0,5,0,0,
4.92,0,5,0,0,0,5,0,0,
4.95,0,5,0,0,0,5,0,0,
4.98,0,5,0,0,0,5,0,0,
5.01,0,5,0,0,0,5,0,0,
5.04,0,5,0,0,0,5,0,0,
5.07,0,5,0,0,0,5,0,0,
5.1,0,5,0,0,0,5,0,0,
5.13,0,5,0,0,0,5,0,0,
5.16,0,5,0,0,0,5,0,0,
5.19,0,5,0,0,0,5,0,0,
5.22,0,5,0,0,0,5,0,0,
5.25,0,5,0,0,0,5,0,0,
5.28,0,5,0,0,0,5,0,0,
5.31,0,5,0,0,0,5,0,0,
5.34,0,5,0,0,0,5,0,0,
5.37,0,5,0,0,0,5,0,0,
5.4,0,5,0,0,0,5,0,0,
5.43,0,5,0,0,0,5,0,0,
5.46,0,5,0,0,0,5,0,0,
5.49,0,5,0,0,0,5,0,0,
5.52,0,5,0,0,0,5,0,0,
5.55,0,5,0,0,0,5,0,0,
5.58,0,5,0,0,0,5,0,0,
5.61,0,5,0,0,0,5,0,0,
5.64,0,5,0,0,0,5,0,0,
5.67,0,5,0,0,0,5,0,0,
5.7,0,5,0,0,0,5,0,0,
5.73,0,5,0,0,0,5,0,0,
5.76,0,5,0,0,0,5,0,0,
5.79,0,5,0,0,0,5,0,0,
5.82,0,5,0,0,0,5,0,0,
5.85,0,5,0,0,0,5,0,0,
5.88,0,5,0,0,0,5,0,0,
5.91,0,5,0,0,0,5,0,0,
5.94,0,5,0,0,0,5,0,0,
5.97,0,5,0,0,0,5,0,0,
6,0,5,0,0,0,5,0,0,
6.03,0,5,0,0,0,5,0,0,
6.06,0,5,0,0,0,5,0,0,
6.09,0,5,0,0,0,5,0,0,
6.12,0,5,0,0,0,5,0,0,
6.15,0,5,0,0,0,5,0,0,
6.18,0,5,0,0,0,5,0,0,
6.21,0,5,0,0,0,5,0,0,
6.24,0,5,0,0,0,5,0,0,
6.27,0,5,0,0,0,5,0,0,
6.3,0,5,0,0,0,5,0,0,
6.33,0,5,0,0,0,5,0,0,
6.36,0,5,0,0,0,5,0,0,
6.39,0,5,0,0,0,5,0,0,
6.42,0,5,0,0,0,5,0,0,
6.45,0,5,0,0,0,5,0,0,
6.48,0,5,0,0,0,5,0,0,
6.51,0,5,0,0,0,5,0,0,
6.54,0,5,0,0,0,5,0,0,
6.57,0,5,0,0,0,5,0,0,
6.6,0,5,0,0,0,5,0,0,
6.63,0,5,0,0,0,5,0,0,
6.66,0,5,0,0,0,5,0,0,
6.69,0,5,0,0,0,5,0,0,
6.72,0,5,0,0,0,5,0,0,
6.75,0,5,0,0,0,5,0,0,
6.78,0,5,0,0,0,5,0,0,
6.81,0,5,0,0,0,5,0,0,
6.84,0,5,0,0,0,5,0,0,
6.87,0,5,0,0,0,5,0,0,
6.9,0,5,0,0,0,5,0,0,
6.93,0,5,0,0,0,5,0,0,
6.96,0,5,0,0,0,5,0,0,
6.99,0,5,0,0,0,5,0,0,
7.02,0,5,0,0,0,5,0,0,
7.05,0,5,0,0,0,5,0,0,
7.08,0,5,0,0,0,5,0,0,
7.11,0,5,0,0,0,5,0,0,
7.14,0,5,0,0,0,5,0,0,
7.17,0,5,0,0,0,5,0,0,
7.2,0,5,0,0,0,5,0,0,
7.23,0,5,0,0,0,5,0,0,
7.26,0,5,0,0,0,5,0,0,
7.29,0,5,0,0,0,5,0,0,
7.32,0,5,0,0,0,5,0,0,
7.35,0,5,0,0,0,5,0,0,
7.38,0,5,0,0,0,5,0,0,
7.41,0,5,0,0,0,5,0,0,
7.44,0,5,0,0,0,5,0,0,
7.47,0,5,0,0,0,5,0,0,
7.5,0,5,0,0,0,5,0,0,
7.53,0,5,0,0,0,5,0,0,
7.56,0,5,0,0,0,5,0,0,
7.59,0,5,0,0,0,5,0,0,
7.62,0,5,0,0,0,5,0,0,
7.65,0,5,0,0,0,5,0,0,
7.68,0,5,0,0,0,5,0,0,
7.71,0,5,0,0,0,5,0,0,
7.74,0,5,0,0,0,5,0,0,
7.77,0,5,0,0,0,5,0,0,
7.8,0,5,0,0,0,5,0,0,
7.83,0,5,0,0,0,5,0,0,
7.86,0,5,0,0,0,5,0,0,
7.89,0,5,0,0,0,5,0,0,
7.92,0,5,0,0,0,5,0,0,
7.95,0,5,0,0,0,5,0,0,
7.98,0,5,0,0,0,5,0,0,
8.01,0,5,0,0,0,5,0,0,
8.04,0,5,0,0,0,5,0,0,
8.07,0,5,0,0,0,5,0,0,
8.1,0,5,0,0,0,5,0,0,
8.13,0,5,0,0,0,5,0,0,
8.16,0,5,0,0,0,5,0,0,
8.19,0,5,0,0,0,5,0,0,
8.22,0,5,0,0,0,5,0,0,
8.25,0,5,0,0,0,5,0,0,
8.28,0,5,0,0,0,5,0,0,
8.31,0,5,0,0,0,5,0,0,
8.34,0,5,0,0,0,5,0,0,
8.37,0,5,0,0,0,5,0,0,
8.4,0,5,0,0,0,5,0,0,
8.43,0,5,0,0,0,5,0,0,
8.46,0,5,0,0,0,5,0,0,
8.49,0,5,0,0,0,5,0,0,
8.52,0,5,0,0,0,5,0,0,
8.55,0,5,0,0,0,5,0,0,
8.58,0,5,0,0,0,5,0,0,
