timestep	qpos_left_hip_pitch_joint	qpos_right_hip_pitch_joint	qpos_waist_roll_joint	qpos_left_hip_roll_joint	qpos_right_hip_roll_joint	qpos_waist_yaw_joint	qpos_left_hip_yaw_joint	qpos_right_hip_yaw_joint	qpos_left_shoulder_pitch_joint	qpos_right_shoulder_pitch_joint	qpos_left_knee_joint	qpos_right_knee_joint	qpos_left_shoulder_roll_joint	qpos_right_shoulder_roll_joint	qpos_left_ankle_pitch_joint	qpos_right_ankle_pitch_joint	qpos_left_shoulder_yaw_joint	qpos_right_shoulder_yaw_joint	qpos_left_ankle_roll_joint	qpos_right_ankle_roll_joint	qpos_left_elbow_joint	qpos_right_elbow_joint	qpos_left_wrist_roll_joint	qpos_right_wrist_roll_joint	qvel_left_hip_pitch_joint	qvel_right_hip_pitch_joint	qvel_waist_roll_joint	qvel_left_hip_roll_joint	qvel_right_hip_roll_joint	qvel_waist_yaw_joint	qvel_left_hip_yaw_joint	qvel_right_hip_yaw_joint	qvel_left_shoulder_pitch_joint	qvel_right_shoulder_pitch_joint	qvel_left_knee_joint	qvel_right_knee_joint	qvel_left_shoulder_roll_joint	qvel_right_shoulder_roll_joint	qvel_left_ankle_pitch_joint	qvel_right_ankle_pitch_joint	qvel_left_shoulder_yaw_joint	qvel_right_shoulder_yaw_joint	qvel_left_ankle_roll_joint	qvel_right_ankle_roll_joint	qvel_left_elbow_joint	qvel_right_elbow_joint	qvel_left_wrist_roll_joint	qvel_right_wrist_roll_joint	root_vel_x	root_vel_y	root_vel_z
0	-0.16054081916809082	0.056719161570072174	-0.25994861125946045	0.058150094002485275	-0.25956735014915466	-0.3311077058315277	0.160420224070549	-0.3254762291908264	0.16387034952640533	0.38478225469589233	0.3163388669490814	0.17337869107723236	1.1286938190460205	-1.591719150543213	-0.03194808214902878	-0.09110439568758011	-0.09015079587697983	0.059549275785684586	-0.16535378992557526	-0.04155807942152023	0.43234747648239136	0.608244776725769	0.239569291472435	-0.03612804040312767	-10.242257118225098	-6.03714656829834	-1.296086072921753	-3.5103628635406494	-5.308402061462402	-1.4826551675796509	10.422478675842285	5.923410415649414	-7.9464311599731445	-9.974993705749512	4.0088114738464355	-4.91903829574585	-2.2523257732391357	1.07402503490448	12.8936767578125	6.68121337890625	-5.238127708435059	8.502260208129883	-4.902268409729004	-1.9971832036972046	5.828094482421875	4.210109233856201	10.002457618713379	-5.5292134284973145	6.545938968658447	1.3189588785171509	-8.84714126586914
1	-0.268152117729187	-0.027814103290438652	-0.32544970512390137	-0.00561037240549922	-0.2865334749221802	-0.21995475888252258	0.4007628858089447	-0.1167646124958992	0.23324114084243774	0.346653550863266	0.19698983430862427	-0.0008715502335689962	1.126810908317566	-1.626454472541809	0.15850761532783508	-0.15624196827411652	-0.03397541865706444	0.20733749866485596	-0.25155794620513916	-0.0732424259185791	0.6136922836303711	0.783037543296814	0.43708720803260803	-0.13381707668304443	2.051949977874756	-2.046562671661377	-6.446571350097656	-0.9589828252792358	1.5616320371627808	9.977798461914062	9.131131172180176	9.915806770324707	2.7518482208251953	1.5197738409042358	-6.800899028778076	-0.7521998286247253	8.241300582885742	0.5234787464141846	5.657905578613281	-8.394176483154297	-10.004495620727539	6.071690559387207	-1.7087749242782593	-2.719374179840088	6.286963939666748	8.382381439208984	9.140437126159668	-4.5227484703063965	-0.2242382913827896	-0.21860793232917786	-0.1349664330482483
2	-0.344436377286911	-0.16078194975852966	-0.3423149287700653	0.0603262297809124	-0.2260618507862091	-0.11882520467042923	0.5745705962181091	0.09092731773853302	0.19241200387477875	0.3078562021255493	0.2766369879245758	0.09380856901407242	1.132351040840149	-1.6994681358337402	0.08684386312961578	-0.28115952014923096	-0.18205085396766663	0.3901631236076355	-0.3081952929496765	-0.08093003183603287	0.8087126612663269	0.9324473142623901	0.6184934973716736	-0.12522093951702118	-7.004242420196533	-8.242968559265137	-3.2875618934631348	4.419262409210205	1.9932829141616821	5.017885208129883	6.81083869934082	9.266998291015625	-0.9124062061309814	-2.4389281272888184	11.151948928833008	7.269618988037109	2.699772596359253	3.278726577758789	-12.322160720825195	-6.676380157470703	-6.850048542022705	3.2282357215881348	-4.084791660308838	-0.8242942094802856	7.855109691619873	10.02500057220459	9.291234016418457	-0.29848867654800415	-0.2845652997493744	0.03548195958137512	0.14325040578842163
3	-0.4432273805141449	-0.16124361753463745	-0.3138817548751831	0.19792672991752625	-0.12528103590011597	-0.016393661499023438	0.58307284116745	0.2850034236907959	0.24113790690898895	0.16882894933223724	0.49841639399528503	0.029018476605415344	1.1391522884368896	-1.7070411443710327	-0.16067452728748322	-0.4035758674144745	-0.05587337538599968	0.4583889842033386	-0.4094686210155487	-0.0636255294084549	0.9663456082344055	0.9123594164848328	0.43553951382637024	0.015325048007071018	-2.70578670501709	6.659473896026611	3.1174092292785645	7.95140266418457	6.4516496658325195	7.572831630706787	-3.1675119400024414	9.8645601272583	-0.5979499816894531	-6.9126129150390625	10.693181037902832	-11.594225883483887	1.2300736904144287	2.3256890773773193	-11.806055068969727	-7.5190205574035645	7.081695556640625	-4.085953712463379	-5.005146503448486	1.3641877174377441	7.786992073059082	-1.4595534801483154	-8.473955154418945	7.724421977996826	-0.05201083421707153	-0.04603073373436928	0.8135329484939575
4	-0.45417460799217224	-0.07277768850326538	-0.2246866226196289	0.36524826288223267	0.05926071107387543	0.17992769181728363	0.49080392718315125	0.4734521210193634	0.33190417289733887	0.02247566543519497	0.7049607038497925	0.0007596855866722763	1.1596078872680664	-1.7437292337417603	-0.40672868490219116	-0.6277109384536743	0.14804601669311523	0.3717057406902313	-0.5135840177536011	-0.04422170668840408	0.8922975659370422	0.7137495875358582	0.26598042249679565	0.16474196314811707	-0.45607608556747437	4.348348617553711	3.648108720779419	5.550478458404541	7.507349967956543	7.697077751159668	-7.966586589813232	9.98280143737793	6.606131553649902	-8.83584976196289	8.727648735046387	0.24397075176239014	1.557619333267212	2.1553735733032227	-10.91317081451416	-10.371261596679688	9.561776161193848	-9.169658660888672	-4.317938327789307	2.0880305767059326	-9.662491798400879	-7.910801410675049	-8.563827514648438	6.867725849151611	-0.20915278792381287	-0.299937903881073	1.1733424663543701
5	-0.45143985748291016	-0.018265139311552048	-0.1781875342130661	0.3730914890766144	0.155894473195076	0.28382277488708496	0.3086613714694977	0.42907872796058655	0.4971170723438263	-0.12598462402820587	0.8115420937538147	0.05264223739504814	1.1719961166381836	-1.7732526063919067	-0.4890363812446594	-0.7268900275230408	0.2982851266860962	0.28297534584999084	-0.47278738021850586	0.030040649697184563	0.7005398273468018	0.5135574340820312	0.12691539525985718	0.2994123697280884	1.4340918064117432	1.0623482465744019	-0.7760327458381653	-3.9746687412261963	2.4154458045959473	4.641948223114014	-8.82750129699707	-8.981932640075684	8.658670425415039	-8.773447036743164	1.9637954235076904	5.28350305557251	0.5842633247375488	1.3111257553100586	1.409772276878357	-1.9839732646942139	8.06595230102539	-6.685198783874512	3.353468894958496	3.6050870418548584	-9.98104476928711	-9.094999313354492	-6.646711826324463	6.41133451461792	-0.12066860496997833	-0.21550311148166656	1.0906457901000977
6	-0.3203915059566498	-0.01650610752403736	-0.20773173868656158	0.24948996305465698	0.14325709640979767	0.4122953414916992	0.20390881597995758	0.24976615607738495	0.5358414649963379	-0.11315673589706421	0.7239899039268494	0.20749865472316742	1.1795949935913086	-1.7970720529556274	-0.31651753187179565	-0.7164954543113708	0.24285288155078888	0.13139982521533966	-0.4531974494457245	0.09545060247182846	0.6105453968048096	0.4126639664173126	0.18751098215579987	0.2563128173351288	9.772947311401367	-0.03964947164058685	-1.1255356073379517	-6.137206554412842	-1.9978097677230835	7.361855506896973	-3.1589548587799072	-9.562230110168457	2.9329049587249756	1.189875841140747	-8.687530517578125	7.858946800231934	0.3118359446525574	-1.257233738899231	11.82142448425293	1.2890726327896118	-3.355715274810791	-7.197319984436035	0.4441862404346466	3.1586153507232666	-3.776280641555786	-4.230576038360596	0.37344038486480713	0.6528329849243164	0.06807094812393188	-0.09385521709918976	1.1192131042480469
7	-0.12217038869857788	0.011823036707937717	-0.1680843085050583	0.18744778633117676	0.11756450682878494	0.5133323073387146	0.1527424305677414	0.04865726828575134	0.5967678427696228	-0.036401569843292236	0.534851610660553	0.3210466504096985	1.1822847127914429	-1.820726752281189	-0.16460725665092468	-0.6440147161483765	0.20890842378139496	0.0027722588274627924	-0.4259895086288452	0.10966648906469345	0.684424638748169	0.5260890126228333	0.3080015182495117	0.1894097477197647	9.785112380981445	2.847162961959839	3.854123115539551	-1.0039315223693848	-0.8404784202575684	3.6242570877075195	-1.3417932987213135	-9.96021842956543	2.7324941158294678	3.0647590160369873	-9.207258224487305	3.801173210144043	0.2905028462409973	-1.3067957162857056	4.23569393157959	3.469247817993164	-1.8010162115097046	-4.046963691711426	1.5412909984588623	-0.16817966103553772	6.084722518920898	8.979472160339355	5.8902177810668945	-3.807264566421509	0.18410296738147736	-0.21201123297214508	1.3194564580917358
8	0.03855655714869499	0.13568896055221558	-0.054767120629549026	0.21279773116111755	0.1303902119398117	0.47696709632873535	0.1291840374469757	-0.09781932830810547	0.6719357371330261	0.06371366232633591	0.3976861238479614	0.29752644896507263	1.1841319799423218	-1.837874412536621	-0.210916206240654	-0.6162828207015991	0.16694313287734985	-0.09713396430015564	-0.3670016825199127	0.09914012998342514	0.7784904837608337	0.6912737488746643	0.4122224748134613	0.09103307127952576	6.36413049697876	7.846256732940674	4.917243957519531	2.0015487670898438	1.4260270595550537	-4.930012226104736	-0.8358351588249207	-5.676620960235596	3.734560489654541	2.4697861671447754	-4.887982368469238	-3.7889113426208496	1.6327345371246338	2.00702166557312	-5.475353240966797	-0.32926127314567566	-2.9811007976531982	-5.844293594360352	3.256565570831299	-0.08269549161195755	3.902682304382324	7.04518461227417	4.517709255218506	-3.769625663757324	0.2267276793718338	-0.22095339000225067	1.3715293407440186
9	0.11399244517087936	0.2493741661310196	0.02389873005449772	0.22711093723773956	0.16905595362186432	0.35840946435928345	0.05645308643579483	-0.07814736664295197	0.6495617032051086	0.10368455201387405	0.3625524342060089	0.2702481746673584	1.1801660060882568	-1.8487423658370972	-0.31209081411361694	-0.6381868124008179	0.11420346051454544	-0.17151060700416565	-0.30396568775177	0.07464451342821121	0.7940765619277954	0.7346049547195435	0.5111736059188843	-0.003391808131709695	3.113262891769409	4.390594482421875	1.2380602359771729	-1.095288872718811	1.0495047569274902	-4.879543304443359	-4.502877712249756	4.05857515335083	-1.4097610712051392	-0.651219367980957	-0.6717778444290161	0.41781410574913025	1.734419584274292	2.5849080085754395	-3.806283712387085	-1.022239327430725	-2.4068915843963623	-5.16414737701416	3.0266659259796143	-2.077890634536743	-1.2735040187835693	0.3088988661766052	3.550004243850708	-4.53497314453125	0.21437492966651917	-0.21002475917339325	0.8355115652084351
