timestep	E_g_vel	E_r_pos	E_r_ori	E_root_vel	E_joint_pos_mean
0	3.161484956741333	0.1936589926481247	0.25827375054359436	0.7326952815055847	0.7390835285186768
1	4.547969818115234	0.11493212729692459	0.4709583818912506	5.317296981811523	1.6496964693069458
2	1.2217692136764526	0.1122254729270935	0.5498318672180176	0.38044095039367676	1.9181326627731323
3	1.3374583721160889	0.117054283618927	0.5823175311088562	0.8655373454093933	2.001654624938965
4	1.3039735555648804	0.12106911838054657	0.6036083102226257	1.272420883178711	2.272908926010132
5	1.0251970291137695	0.12146438658237457	0.610236644744873	1.16005277633667	2.408625364303589
6	1.1504807472229004	0.12438863515853882	0.6047191619873047	1.1654123067855835	2.3174426555633545
7	1.0489100217819214	0.12034954130649567	0.5832738280296326	1.384988784790039	2.072622776031494
8	1.0896093845367432	0.12439392507076263	0.5421404242515564	1.4405286312103271	1.8938934803009033
9	0.9491036534309387	0.13114073872566223	0.5368033647537231	0.9186915755271912	1.9515693187713623
10	1.0121210813522339	0.13670752942562103	0.528579831123352	0.4363512694835663	1.9893956184387207
11	0.7866244912147522	0.138996884226799	0.5210792422294617	0.23915232717990875	1.9556753635406494
12	0.7021772265434265	0.1410313993692398	0.5006514191627502	0.4106166660785675	1.9078871011734009
13	0.616458535194397	0.1405678689479828	0.4944382607936859	0.4250735640525818	1.8880504369735718
14	0.6310911178588867	0.13664273917675018	0.488812118768692	0.48310387134552	1.8729825019836426
15	0.6660482287406921	0.12932610511779785	0.4686201512813568	0.3870444893836975	1.844900369644165
16	0.7898349761962891	0.11833566427230835	0.4341425597667694	0.27351418137550354	1.7926573753356934
17	0.6039440035820007	0.10323497653007507	0.39562785625457764	0.20413599908351898	1.7351887226104736
18	0.543099045753479	0.08926380425691605	0.3644929528236389	0.2815890908241272	1.7218067646026611
19	0.4072411060333252	0.07876256853342056	0.339349627494812	0.22446425259113312	1.7164461612701416
20	0.29378899931907654	0.07198385149240494	0.33160558342933655	0.23599009215831757	1.7408782243728638
21	0.21481956541538239	0.06731586158275604	0.33164772391319275	0.17781683802604675	1.781302571296692
22	0.1782485693693161	0.06504476070404053	0.32886117696762085	0.2234656810760498	1.8261263370513916
23	0.20168612897396088	0.064515121281147	0.3231711983680725	0.237174853682518	1.8672804832458496
24	0.23469862341880798	0.06446434557437897	0.31348732113838196	0.2569311261177063	1.8990519046783447
25	0.22524866461753845	0.06485557556152344	0.30350881814956665	0.25853848457336426	1.928145408630371
26	0.2075110226869583	0.06592774391174316	0.2977292537689209	0.24471473693847656	1.9508696794509888
27	0.20601658523082733	0.0671897903084755	0.2955053150653839	0.24399298429489136	1.9653233289718628
28	0.1366824507713318	0.06775064766407013	0.2926928997039795	0.20950783789157867	1.9747064113616943
29	0.1280142366886139	0.06659284234046936	0.2901800274848938	0.22271500527858734	1.9756189584732056
30	0.14213213324546814	0.06492244452238083	0.28693222999572754	0.2395307421684265	1.973682165145874
31	0.13258585333824158	0.062993124127388	0.2824559509754181	0.2017054259777069	1.9568488597869873
32	0.13203656673431396	0.06101907044649124	0.27987655997276306	0.18100392818450928	1.9483925104141235
33	0.09105689078569412	0.059801895171403885	0.2784528136253357	0.10390068590641022	1.9344673156738281
34	0.07145903259515762	0.05895168334245682	0.2760920524597168	0.07334663718938828	1.9227336645126343
35	0.08062875270843506	0.05831266567111015	0.2747248709201813	0.07769061625003815	1.9177560806274414
36	0.0588516928255558	0.05770079791545868	0.2764776349067688	0.018319429829716682	1.9203362464904785
37	0.056296348571777344	0.05695979297161102	0.27535280585289	0.02118738368153572	1.9210693836212158
38	0.04862193763256073	0.05635400861501694	0.2738146483898163	0.030789606273174286	1.9158929586410522
39	0.049293264746665955	0.05616290122270584	0.2750973403453827	0.06664642691612244	1.9224441051483154
40	0.04057873412966728	0.05612489953637123	0.2744302451610565	0.0448404923081398	1.9190582036972046
41	0.04694549739360809	0.0560605451464653	0.2732643485069275	0.030913325026631355	1.9154413938522339
42	0.04193851351737976	0.05613471195101738	0.27303019165992737	0.010019179433584213	1.9160789251327515
43	0.04008198529481888	0.05598234385251999	0.2718120217323303	0.026083260774612427	1.9215189218521118
44	0.03632437810301781	0.05587843433022499	0.2703862190246582	0.03307785093784332	1.9186875820159912
45	0.04332585260272026	0.056072626262903214	0.2706194519996643	0.0325477160513401	1.9199720621109009
46	0.03954710438847542	0.05621379613876343	0.27116626501083374	0.025614410638809204	1.9249143600463867
47	0.03984852507710457	0.05615270137786865	0.27040356397628784	0.02689308673143387	1.9204812049865723
48	0.04039791226387024	0.05588163062930107	0.2684812545776367	0.035399895161390305	1.918246865272522
49	0.0468742735683918	0.05554557591676712	0.265340656042099	0.012807556428015232	1.9052304029464722
50	0.0496322363615036	0.055245064198970795	0.26462459564208984	0.037469282746315	1.8999509811401367
51	0.0398300364613533	0.05503859370946884	0.2640805244445801	0.023360203951597214	1.8972476720809937
52	0.054421909153461456	0.055258505046367645	0.2628210783004761	0.053657446056604385	1.892175555229187
53	0.059477612376213074	0.0551375076174736	0.2605963349342346	0.047441571950912476	1.8900601863861084
54	0.07856705784797668	0.05499809607863426	0.25180187821388245	0.10620766878128052	1.873660683631897
55	0.09152059257030487	0.05501076951622963	0.24457013607025146	0.12373469024896622	1.8617842197418213
56	0.09012782573699951	0.05519573390483856	0.23803827166557312	0.11859685182571411	1.8550055027008057
57	0.09867660701274872	0.055378854274749756	0.23247043788433075	0.13048140704631805	1.8423277139663696
58	0.07448650896549225	0.05534543842077255	0.22868213057518005	0.06619893014431	1.8229143619537354
59	0.06973059475421906	0.05537936091423035	0.2250874787569046	0.012432820163667202	1.79112708568573
60	0.07687821984291077	0.055405229330062866	0.22099903225898743	0.019744379445910454	1.7507961988449097
61	0.0874243974685669	0.05558066815137863	0.2194337695837021	0.0374554768204689	1.7225522994995117
62	0.10861347615718842	0.05575381964445114	0.22120484709739685	0.043929580599069595	1.6961194276809692
63	0.11209692060947418	0.055688414722681046	0.22477345168590546	0.040097832679748535	1.6664506196975708
64	0.12478777766227722	0.05612873286008835	0.2302856147289276	0.06435786932706833	1.6357533931732178
65	0.13971982896327972	0.05710868537425995	0.23790611326694489	0.08933849632740021	1.6042455434799194
66	0.16081419587135315	0.05819106847047806	0.24631452560424805	0.1086941808462143	1.5853906869888306
67	0.20018291473388672	0.05991461127996445	0.2528996467590332	0.1571076661348343	1.5643651485443115
68	0.24473780393600464	0.06192528456449509	0.25990140438079834	0.2476014941930771	1.5435919761657715
69	0.3323926031589508	0.06474658846855164	0.2670733332633972	0.3947147727012634	1.5169074535369873
70	0.4172073006629944	0.06886598467826843	0.2764554023742676	0.5242628455162048	1.4912246465682983
71	0.510915219783783	0.07293877005577087	0.2872624099254608	0.6341986656188965	1.4682385921478271
72	0.4708442687988281	0.0776323452591896	0.3011447787284851	0.22455179691314697	1.456592082977295
73	0.46243205666542053	0.07919571548700333	0.3221893310546875	0.3136632740497589	1.4494190216064453
74	0.4698737859725952	0.08493972569704056	0.35111069679260254	0.41276463866233826	1.4675236940383911
75	0.4121767580509186	0.09459831565618515	0.38205868005752563	0.2568334937095642	1.4964040517807007
76	0.43572375178337097	0.10158652812242508	0.40206313133239746	0.2208516001701355	1.5230543613433838
77	0.5811605453491211	0.09992603957653046	0.41753020882606506	0.4070703685283661	1.5725266933441162
78	0.607857882976532	0.09339183568954468	0.4390780031681061	0.3276227116584778	1.6530009508132935
79	0.5617424249649048	0.09043021500110626	0.4601984918117523	0.20574013888835907	1.7338241338729858
80	0.5553300976753235	0.08821696788072586	0.4834812879562378	0.25878775119781494	1.820906400680542
81	0.5398175716400146	0.08904147148132324	0.5099552273750305	0.31622985005378723	1.9085943698883057
