Iteration,MeanEpisodeLength,MeanReward
314,49.57,2.36
315,53.53,2.44
316,51.29,2.38
317,55.44,2.62
318,44.49,1.98
319,45.7,2.06
320,58.19,2.73
321,52.76,2.48
322,54.41,2.64
323,51.12,2.42
324,49.18,2.23
325,53.82,2.61
326,59.56,2.85
327,47.63,2.18
328,56.87,2.75
329,57.88,2.67
330,56.24,2.69
331,59.26,2.8
332,52.44,2.53
333,51.34,2.38
334,51.16,2.32
335,54.42,2.6
336,55.02,2.67
337,51.85,2.47
338,52.46,2.46
339,58.99,2.83
340,51.6,2.44
341,52.12,2.48
342,47.27,2.24
343,59.57,2.8
344,56.01,2.67
345,48,2.1
346,59.12,2.79
347,54.34,2.64
348,52.07,2.42
349,56.56,2.75
350,57.92,2.88
351,62.59,3.03
352,63.16,3.12
353,56.66,2.73
354,59.29,2.9
355,61.4,2.97
356,70.84,3.51
357,55.97,2.75
358,56.12,2.76
359,52.07,2.59
360,59.59,2.93
361,61.81,3.12
362,65.77,3.29
363,58.53,2.88
364,59.73,2.84
365,63.82,2.99
366,68.75,3.28
367,60.87,2.85
368,64.47,3.17
369,54.55,2.57
370,55.36,2.58
371,66.17,3.13
372,67.39,3.26
373,62.1,2.94
374,56.43,2.63
375,67.12,3.1
376,69.88,3.35
377,60.51,2.83
378,70.31,3.37
379,67.27,3.23
380,57.17,2.7
381,59,2.74
382,60.71,2.86
383,61.8,2.9
384,72.07,3.52
385,60.82,2.81
386,66.04,3.09
387,70.59,3.37
388,63.46,2.97
389,69.4,3.31
390,73,3.5
391,60.69,2.77
392,65.27,3.08
393,75.81,3.64
394,69.28,3.21
395,77.35,3.64
396,69.65,3.25
397,71.29,3.38
398,79.04,3.73
399,72.25,3.29
400,84.54,3.97
401,76.05,3.52
402,81.1,3.87
403,81.37,3.88
404,69.3,3.16
405,71.41,3.13
406,81.27,3.79
407,68.02,3.04
408,75.89,3.38
409,73.74,3.26
410,74.35,3.23
411,84.97,3.75
412,80.16,3.65
413,76.23,3.25
414,82.97,3.69
415,76.45,3.5
416,81.86,3.64
417,86.5,3.69
418,91.1,4.01
419,81.23,3.52
420,87.3,3.94
421,85.26,3.83
422,89.32,3.97
423,84.45,3.74
424,86.34,3.88
425,79.01,3.43
426,77.99,3.3
427,88.62,3.93
428,85.3,3.8
429,102.3,4.62
430,98.83,4.43
431,83.87,3.72
432,99.43,4.66
433,97.83,4.32
434,85.2,3.85
435,92.09,4.11
436,87.37,4.01
437,101.5,4.65
438,90.4,3.96
439,97.87,4.45
440,103.6,4.69
441,87.43,3.63
442,95,4.18
443,83.57,3.8
444,86.74,3.74
445,115.69,5.51
446,98.64,4.34
447,99.23,4.46
448,103.08,4.62
449,103.96,4.72
450,92.63,4.12
451,96.91,4.28
452,115.97,5.21
453,113.68,5.22
454,132.49,6.36
455,108.55,4.89
456,101.46,4.67
457,113,5.17
458,118.39,5.36
459,123.36,5.87
460,137.01,6.63
461,137,6.61
462,116.76,5.46
463,114.45,5.36
464,123.9,5.68
465,134.27,6.55
466,135.71,6.37
467,112.33,5.14
468,127.81,5.89
469,109.91,4.84
470,120.54,5.58
471,130.05,6.15
472,136.42,6.47
473,113.72,5.54
474,127.33,5.74
475,135.31,6.44
476,123.7,5.8
477,124.64,5.81
478,122.33,5.59
479,127.21,6.12
480,139.06,6.61
481,136.62,6.4
482,118.26,5.67
483,128.68,6.16
484,128.37,6.11
485,131.98,5.87
486,127.38,5.96
487,118.83,5.56
488,132.55,6.21
489,152.75,7.44
490,144.25,7.07
491,151.4,7.12
492,132.45,6.28
493,108.54,4.83
494,141.41,6.73
495,147.1,6.92
496,145.87,7.04
497,147.68,6.99
498,150.85,7.25
499,129.2,6.08
500,160.87,7.67
501,116.22,5.33
502,147.99,7.11
503,124.04,5.61
504,150.45,7.26
505,118.5,5.46
506,115.02,5.51
507,142.42,6.53
508,124.21,5.88
509,161.52,8.05
510,159.49,7.35
511,118.17,5.42
512,160.75,7.81
513,118.98,5.49
514,135.15,6.48
515,139.83,6.65
516,126.49,5.85
517,168.97,8.48
518,142.86,6.7
519,105.67,4.63
520,171.53,8.22
521,161.03,7.6
522,129.44,5.96
523,156.45,7.6
524,148.29,7.29
525,142.77,6.94
526,165.95,7.94
527,141.11,6.76
528,123.79,5.84
529,156.49,7.46
530,149.91,6.96
531,121.96,5.41
532,130.95,6.24
533,149.08,7.05
534,162.7,7.56
535,139.19,6.63
536,136.1,6.51
537,135.09,6.4
538,143.57,7.06
539,142.07,6.64
540,146.27,7.01
541,138.07,6.38
542,133.39,6.34
543,161.37,7.84
544,159.17,7.23
545,142.06,6.73
546,129.83,5.79
547,151.97,7.25
548,156.09,7.43
549,166.77,8.23
550,123.71,5.71
551,171.5,8.25
552,143.69,6.59
553,157.33,7.59
554,161.23,7.68
555,161.48,8.06
556,121.18,5.53
557,133.44,6.36
558,152.25,7.16
559,142.17,6.72
560,155.41,7.46
561,144.22,6.9
562,151.73,7.01
563,125.44,5.76
564,151.08,7.14
565,149.53,7.07
566,154.9,7.49
567,148.63,6.98
568,138.97,6.31
569,164.17,7.79
570,165.53,7.63
571,126.05,6
572,141.55,6.54
573,164.12,7.94
574,149.12,6.9
575,137.55,6.51
576,161.39,7.76
577,154.99,7.31
578,148.69,6.74
579,164.54,7.71
580,134.81,6.11
581,168.68,8.16
582,145.04,6.94
583,166.1,8.16
584,132.17,6.14
585,135.09,6.13
586,158.95,7.46
587,166.05,7.86
588,136.86,6.29
589,151.87,7.17
590,156.38,7.32
591,156.63,7.3
592,157.27,7.6
593,127.94,5.74
594,120.41,5.48
595,163.64,7.66
596,179.47,8.92
597,164,8.04
598,153.87,7.33
599,147.92,7.11
600,154.53,7.53
601,149.29,7.14
602,140.35,6.53
603,166.87,7.87
604,147.31,7.23
605,157.19,7.64
606,143.46,6.89
607,162.98,8.02
