Iteration,MeanEpisodeLength,MeanReward
313,103.71,4.2
314,92.63,3.39
315,96.08,3.78
316,100.65,3.88
317,82.95,3.09
318,92.05,3.62
319,82.93,3.18
320,91.76,3.59
321,87.87,3.42
322,90.1,3.6
323,92.27,3.51
324,95,3.7
325,101.74,4.14
326,88.69,3.42
327,100.5,4.04
328,85,3.21
329,103.37,4.08
330,101.42,3.9
331,91.94,3.47
332,81.34,2.94
333,91.19,3.56
334,89.51,3.35
335,97.17,3.66
336,92.91,3.31
337,108.47,4.21
338,98.58,3.72
339,91.93,3.5
340,102.48,3.69
341,92.81,3.44
342,100.11,3.68
343,87.93,3.13
344,100.58,3.63
345,84.34,2.97
346,86.9,3.17
347,87.34,3.31
348,100.48,3.53
349,107.6,4.11
350,98.69,3.58
351,92.1,3.3
352,100.53,3.5
353,89.72,3.32
354,98.6,3.35
355,91.6,3.3
356,96.2,3.5
357,96.15,3.48
358,112.31,4.15
359,104.46,3.92
360,105.75,3.69
361,102.64,3.6
362,94.43,3.46
363,104.18,3.72
364,117.1,4.06
365,102.22,3.7
366,110.82,3.86
367,103.13,3.51
368,120.45,3.96
369,108.85,3.73
370,112.48,3.79
371,110.87,4.04
372,108.63,3.65
373,122.46,4.53
374,120.75,4.1
375,106.88,3.34
376,139.72,4.63
377,156.44,5.06
378,119.01,3.9
379,139.34,4.46
380,151.69,4.81
381,160.26,4.97
382,143.7,4.39
383,190.14,5.98
384,144.62,4.27
385,131.93,3.98
386,167.21,5.2
387,172.53,5.56
388,167.96,4.82
389,171.06,5.33
390,190.31,6
391,182.95,5.48
392,194.07,5.68
393,184.18,5.75
394,186.4,5.6
395,197.16,6.08
396,193.65,5.89
397,148.78,4.5
398,206.05,5.99
399,191.67,6.03
400,162.85,4.77
401,214.65,6.45
402,198.96,6.17
403,198.05,6.14
404,194.26,5.9
405,232.17,7.32
406,177.56,4.84
407,201.1,5.58
408,186.82,5.71
409,197.88,5.38
410,202.94,6.57
