timestep	E_g_vel	E_r_pos	E_r_ori	E_root_vel	E_joint_pos_mean
0	0.48698997497558594	1.008532166481018	1.61250638961792	0.5276485085487366	0.3957993686199188
1	0.7602826952934265	0.04577082395553589	0.1296883076429367	0.5333021879196167	0.4948766529560089
2	0.9648821949958801	0.043320637196302414	0.12266355752944946	0.6719679236412048	0.6500256061553955
3	1.0811012983322144	0.045219529420137405	0.12249797582626343	0.8469155430793762	0.7409418225288391
4	1.1248198747634888	0.056126900017261505	0.13423322141170502	1.043562412261963	0.7943702340126038
5	1.184961199760437	0.07255440950393677	0.16016800701618195	1.193189024925232	0.8611252307891846
6	1.1828771829605103	0.08971388638019562	0.1623109132051468	1.2144784927368164	0.7758165001869202
7	1.1732110977172852	0.1076270267367363	0.14832861721515656	1.1891148090362549	0.6422523856163025
8	0.5345250964164734	0.11690551042556763	0.13985732197761536	0.4798499643802643	0.5843260884284973
9	0.5014427304267883	0.11927587538957596	0.13779956102371216	0.36146265268325806	0.562027096748352
10	0.3973596394062042	0.12080699950456619	0.13481783866882324	0.3119089603424072	0.564397394657135
11	0.38604485988616943	0.12106549739837646	0.13388574123382568	0.27538591623306274	0.6183081269264221
12	0.5071319937705994	0.1178790032863617	0.132525235414505	0.2827560007572174	0.6951970458030701
13	0.5983549356460571	0.11142706871032715	0.14108943939208984	0.29997125267982483	0.7576354146003723
14	0.7309085130691528	0.10561033338308334	0.13909783959388733	0.34306153655052185	0.7961178421974182
15	0.9754447340965271	0.10187671333551407	0.13288120925426483	0.4087216556072235	0.8729488253593445
16	0.8538935780525208	0.10416635870933533	0.1423836201429367	0.3999828100204468	0.9435415863990784
17	0.6220964193344116	0.11238817870616913	0.1452280431985855	0.3792261481285095	1.0369170904159546
18	0.48317551612854004	0.1174364909529686	0.13859330117702484	0.3274977505207062	1.1156376600265503
19	0.2341374158859253	0.11774487048387527	0.13831467926502228	0.21098977327346802	1.1674915552139282
20	0.1844548135995865	0.11544260382652283	0.1352936029434204	0.176533505320549	1.1931359767913818
21	0.2111760526895523	0.11299148947000504	0.13340933620929718	0.1607433557510376	1.2013578414916992
22	0.21651658415794373	0.11057637631893158	0.13516676425933838	0.15815195441246033	1.2553582191467285
23	0.15189553797245026	0.10837038606405258	0.13559746742248535	0.15491846203804016	1.3583565950393677
24	0.111086905002594	0.10749223083257675	0.12942369282245636	0.13011087477207184	1.453292727470398
25	0.13503298163414001	0.10833846032619476	0.1243266686797142	0.13548117876052856	1.5379856824874878
26	0.12559373676776886	0.10993717610836029	0.12365512549877167	0.121549591422081	1.5548977851867676
27	0.09805616736412048	0.11051265150308609	0.12399129569530487	0.0524296835064888	1.5826432704925537
28	0.11061572283506393	0.11156068742275238	0.12301039695739746	0.02947918325662613	1.6021140813827515
29	0.10819095373153687	0.11256221681833267	0.12078307569026947	0.05710861459374428	1.5717434883117676
30	0.08700673282146454	0.11349377036094666	0.11960147321224213	0.07639482617378235	1.4904844760894775
31	0.06749068945646286	0.1139146015048027	0.11639045178890228	0.08558308333158493	1.3690696954727173
32	0.06449989974498749	0.11410924047231674	0.11518141627311707	0.09591803699731827	1.2398484945297241
33	0.0720847100019455	0.11404434591531754	0.11399272829294205	0.10348314791917801	1.1201890707015991
34	0.0774453654885292	0.11386934667825699	0.1120559349656105	0.11845095455646515	0.9961336851119995
35	0.07650507986545563	0.113424152135849	0.10860337316989899	0.13194158673286438	0.8871034383773804
