timestep	qpos_L_hip_yaw	qpos_L_shoulder_pitch	qpos_R_hip_yaw	qpos_R_shoulder_pitch	qpos_L_hip_roll	qpos_L_shoulder_roll	qpos_R_hip_roll	qpos_R_shoulder_roll	qpos_L_hip_pitch	qpos_L_shoulder_yaw	qpos_R_hip_pitch	qpos_R_shoulder_yaw	qpos_L_knee_pitch	qpos_L_elbow_pitch	qpos_R_knee_pitch	qpos_R_elbow_pitch	qpos_L_ankle_pitch	qpos_L_wrist_yaw	qpos_R_ankle_pitch	qpos_R_wrist_yaw	qpos_L_ankle_roll	qpos_R_ankle_roll	qvel_L_hip_yaw	qvel_L_shoulder_pitch	qvel_R_hip_yaw	qvel_R_shoulder_pitch	qvel_L_hip_roll	qvel_L_shoulder_roll	qvel_R_hip_roll	qvel_R_shoulder_roll	qvel_L_hip_pitch	qvel_L_shoulder_yaw	qvel_R_hip_pitch	qvel_R_shoulder_yaw	qvel_L_knee_pitch	qvel_L_elbow_pitch	qvel_R_knee_pitch	qvel_R_elbow_pitch	qvel_L_ankle_pitch	qvel_L_wrist_yaw	qvel_R_ankle_pitch	qvel_R_wrist_yaw	qvel_L_ankle_roll	qvel_R_ankle_roll	root_vel_x	root_vel_y	root_vel_z
0	0.15785366296768188	0.026740429922938347	0.12236712872982025	-0.06442929059267044	-0.06126256287097931	0.2669812738895416	-0.05424027144908905	0.09728090465068817	-0.016029082238674164	-0.2974219024181366	0.1517776995897293	-0.40155938267707825	-0.11611777544021606	0.4349985420703888	-0.09925538301467896	0.25617602467536926	-0.002395838499069214	-0.4901871085166931	0.01469295471906662	-0.5845789909362793	0.00381870218552649	0.02753419429063797	-1.9990178346633911	2.263326406478882	0.223490908741951	0.91982501745224	1.180416464805603	-1.5608923435211182	-0.48683393001556396	-1.5491993427276611	2.3942108154296875	4.4744415283203125	1.7548450231552124	5.253036022186279	-3.192448139190674	-5.555310249328613	-3.494647741317749	-3.5384721755981445	-2.2142579555511475	5.147350788116455	-2.6071159839630127	8.000000953674316	2.7016584873199463	2.657228946685791	0.33368879556655884	0.4035908281803131	-0.03887355327606201
1	0.1450541466474533	0.015212621539831161	0.1577366441488266	-0.11455823481082916	-0.016465798020362854	0.2890445590019226	-0.06634844839572906	0.10882370918989182	0.029972845688462257	-0.34186670184135437	0.18165059387683868	-0.41165879368782043	-0.1722775101661682	0.4848993122577667	-0.17404383420944214	0.36757928133010864	-0.0509256087243557	-0.3404538929462433	-0.0419124960899353	-0.5037112236022949	0.02247283235192299	0.04317376762628555	-0.2077403962612152	-1.140501856803894	1.5757864713668823	-3.557346820831299	2.3816111087799072	1.5398160219192505	-0.2241349071264267	0.8686990141868591	2.0600807666778564	-2.9576447010040283	1.1121662855148315	2.5887551307678223	-1.9709100723266602	4.128471851348877	-3.1672027111053467	7.943572044372559	-2.1797361373901367	8.0	-2.539363145828247	2.0892221927642822	1.5318952798843384	1.9162101745605469	0.34485915303230286	0.2948544919490814	-0.27575942873954773
2	0.156572625041008	-0.016346173360943794	0.17341767251491547	-0.1635672003030777	0.03668593987822533	0.32121866941452026	-0.06146372854709625	0.13914988934993744	0.06802631169557571	-0.38372036814689636	0.18853040039539337	-0.44659069180488586	-0.1962154507637024	0.5723506212234497	-0.21134787797927856	0.49951106309890747	-0.09341449290513992	-0.21134093403816223	-0.09519775956869125	-0.42947861552238464	0.041501451283693314	0.05329293757677078	0.732515811920166	-1.219360589981079	0.9180904626846313	-2.4575986862182617	3.0695810317993164	1.921398401260376	0.12527675926685333	1.0327270030975342	2.0075018405914307	-3.1701014041900635	-0.12613126635551453	1.3005788326263428	-1.248407244682312	3.724597454071045	-1.2571512460708618	6.114391326904297	-2.4241738319396973	7.831665515899658	-2.7593488693237305	1.9823683500289917	1.793860912322998	-0.05871414765715599	0.35362035036087036	0.3121315538883209	-0.47587835788726807
3	0.1631111353635788	-0.027231814339756966	0.18946801126003265	-0.19510819017887115	0.10885592550039291	0.3575877547264099	-0.06525345146656036	0.16643808782100677	0.09672374278306961	-0.4264979064464569	0.16910608112812042	-0.4724624454975128	-0.20691663026809692	0.6098204851150513	-0.21962076425552368	0.590020477771759	-0.12255550175905228	-0.14572253823280334	-0.13955214619636536	-0.4751600921154022	0.06210445240139961	0.054252155125141144	-0.24631446599960327	-0.23760496079921722	0.7700908780097961	-1.648464322090149	3.766514539718628	1.9478657245635986	-0.3923850357532501	1.0943751335144043	0.8317244052886963	-2.3340346813201904	-1.6610428094863892	0.39613065123558044	0.04196802154183388	1.4192347526550293	0.2477978616952896	4.209266662597656	-0.7017119526863098	1.8141616582870483	-1.6412142515182495	-3.9241788387298584	1.3596303462982178	-1.0770481824874878	0.3644528090953827	0.36346563696861267	-0.6704139113426208
4	0.1320376843214035	-0.018068702891469002	0.19968675076961517	-0.2168041616678238	0.17336037755012512	0.39032572507858276	-0.0702972561120987	0.20018993318080902	0.10240311175584793	-0.4714977443218231	0.14004559814929962	-0.48984935879707336	-0.2017473578453064	0.6223956346511841	-0.22492724657058716	0.6525848507881165	-0.14569103717803955	-0.1210789754986763	-0.1646898090839386	-0.5836082696914673	0.081205353140831	0.054114557802677155	-2.92696475982666	0.9020316004753113	0.5491579174995422	-1.0697531700134277	2.412278890609741	1.1720308065414429	0.226358562707901	2.0788989067077637	-0.04614274948835373	-1.7463115453720093	-0.8705385327339172	-0.6699325442314148	0.21807861328125	0.48304483294487	-0.7985390424728394	2.956491708755493	-1.5241895914077759	-0.5630106329917908	-1.2478163242340088	-4.054291725158691	0.37600603699684143	0.6596425771713257	0.37247079610824585	0.4057353436946869	-0.8846264481544495
5	0.06463517993688583	-0.02191797085106373	0.2068762630224228	-0.22369302809238434	0.19511452317237854	0.40654081106185913	-0.05230410397052765	0.24128948152065277	0.09154809266328812	-0.4883870780467987	0.1263405829668045	-0.49135878682136536	-0.192577064037323	0.6622387170791626	-0.2261616587638855	0.6915248036384583	-0.18326520919799805	-0.10258949548006058	-0.1957320272922516	-0.6940056085586548	0.09403537213802338	0.06294558197259903	-3.4155967235565186	-0.38572320342063904	0.43098267912864685	-0.03768067806959152	0.4022127389907837	0.6164879202842712	1.1110371351242065	2.1004788875579834	-0.8147425651550293	-0.9476894736289978	-0.7047998309135437	-0.10857485234737396	0.939441978931427	1.8601152896881104	0.7629317045211792	1.7325992584228516	-1.7762811183929443	-0.5279605388641357	-1.4515632390975952	-4.033065319061279	0.4156624674797058	1.1252702474594116	0.3484250605106354	0.3885822296142578	-1.0716452598571777
6	0.022511733695864677	-0.037602752447128296	0.20961788296699524	-0.1930016726255417	0.18651318550109863	0.40887728333473206	-0.02695537358522415	0.26966580748558044	0.07016956806182861	-0.5061256289482117	0.11333148181438446	-0.4809994399547577	-0.21022427082061768	0.6684929728507996	-0.20019452273845673	0.6582045555114746	-0.0372958667576313	-0.16659997403621674	-0.2221665382385254	-0.6777253150939941	0.06658048927783966	0.07411625236272812	-0.46624454855918884	-1.3261321783065796	-0.29881617426872253	1.828542709350586	-0.6591886878013611	0.11315487325191498	1.207610845565796	1.3510247468948364	-0.9937841296195984	-1.152624487876892	-0.9482410550117493	0.5630882978439331	-1.4476611614227295	0.09515362232923508	1.5583466291427612	-1.7877875566482544	7.407234191894531	-2.1222872734069824	-1.068254828453064	3.008039712905884	-0.5154610872268677	0.3969288766384125	0.2993152141571045	0.3777289092540741	-1.1135618686676025
7	0.0375666469335556	-0.06905091553926468	0.20284442603588104	-0.15533018112182617	0.1671391874551773	0.4062716066837311	-0.004653025418519974	0.29092466831207275	0.04924575239419937	-0.5218852758407593	0.09167896956205368	-0.47624367475509644	-0.2185947448015213	0.6722907423973083	-0.1873241364955902	0.6131746172904968	0.1154947504401207	-0.2804189622402191	-0.15709613263607025	-0.5882048010826111	0.04512041062116623	0.06821300089359283	0.8196526765823364	-1.3631261587142944	-0.10674919933080673	1.6575340032577515	-0.7795287370681763	-0.31386977434158325	1.2136132717132568	0.7771128416061401	-0.8304117321968079	-0.8772628307342529	-1.4977260828018188	0.6342397332191467	0.10624824464321136	-0.08025315403938293	0.38674965500831604	-2.2144832611083984	6.9970703125	-6.589224338531494	8.459794044494629	3.014425039291382	-5.140934944152832	-0.7386521100997925	0.2854852080345154	0.364214152097702	-1.094048261642456
8	0.04689803346991539	-0.0877719521522522	0.2080853283405304	-0.12948240339756012	0.12873631715774536	0.3781065344810486	0.03599875792860985	0.3030199706554413	0.09648513793945312	-0.5344008803367615	0.08150708675384521	-0.468152791261673	-0.3098505735397339	0.6446954607963562	-0.16642093658447266	0.5856882333755493	0.16294735670089722	-0.37634140253067017	-0.06721595674753189	-0.4799744486808777	-0.04061266779899597	0.05853657424449921	0.9039385914802551	-1.6811625957489014	0.5147649645805359	1.4180076122283936	-2.634486675262451	-1.4856886863708496	2.247431755065918	0.562208890914917	1.7450730800628662	-0.14615970849990845	0.5706772208213806	-0.2986206114292145	-2.980382204055786	-0.45493820309638977	0.3314608335494995	-1.0104578733444214	1.2441461086273193	-6.010477542877197	2.766463279724121	3.8807566165924072	2.40374755859375	-0.2150612771511078	0.0951092317700386	0.3490273952484131	-0.3118273615837097
9	0.06934897601604462	-0.12232950329780579	0.22175446152687073	-0.11075517535209656	0.08133306354284286	0.35817137360572815	0.07102000713348389	0.3027872145175934	0.11628399044275284	-0.5423529148101807	0.1102672889828682	-0.43687430024147034	-0.3245060443878174	0.6379854679107666	-0.17580457031726837	0.5852617621421814	0.16042912006378174	-0.48304593563079834	-0.013515640050172806	-0.40345221757888794	-0.02961196005344391	0.04514182358980179	1.339822769165039	-1.9407262802124023	1.097032904624939	0.9026209712028503	-1.9136749505996704	-0.5776196122169495	1.2220776081085205	-0.018912378698587418	0.4550129175186157	0.05413554608821869	1.4872170686721802	0.2479858100414276	0.22541013360023499	0.06699113547801971	-0.8645325303077698	0.07227609306573868	-0.6461342573165894	-4.627248287200928	3.260654926300049	4.419867992401123	-0.8003212213516235	-4.117059230804443	0.028988856822252274	0.30852165818214417	-0.1818375140428543
