timestep	E_g_vel	E_r_pos	E_r_ori	E_root_vel	E_joint_pos_mean
0	0.7177767753601074	0.8335707783699036	0.3949247896671295	0.8376060724258423	0.5971512794494629
1	0.6643609404563904	0.04643940553069115	0.2217511385679245	0.41463518142700195	0.7766273021697998
2	0.8440261483192444	0.04382079467177391	0.19907192885875702	0.6199256181716919	0.9228565692901611
3	0.7418773174285889	0.047125622630119324	0.20613722503185272	0.698822021484375	1.1024588346481323
4	0.7610427737236023	0.05627267062664032	0.2426188439130783	0.9619323015213013	1.2896019220352173
5	0.6051816940307617	0.06296875327825546	0.2867412269115448	0.4930174648761749	1.50797438621521
6	0.5412532687187195	0.06768088042736053	0.3279792368412018	0.3068503439426422	1.6652222871780396
7	0.6696408987045288	0.07377231121063232	0.37098678946495056	0.4588651657104492	1.8263299465179443
8	0.7163274884223938	0.08019670099020004	0.4214841425418854	0.48320960998535156	1.9541656970977783
9	0.7440991997718811	0.08420044183731079	0.46524733304977417	0.4826197624206543	2.0331687927246094
10	0.7581723928451538	0.08643292635679245	0.4989771544933319	0.45649009943008423	2.1066839694976807
11	0.7460202574729919	0.0882323831319809	0.5238937735557556	0.5425071120262146	2.1537649631500244
12	1.0292946100234985	0.089197538793087	0.5276901721954346	0.5213232040405273	2.175861120223999
13	1.0296409130096436	0.0972847193479538	0.5374835133552551	0.46546226739883423	2.1879072189331055
14	0.8229033946990967	0.10106312483549118	0.5206716656684875	0.35744526982307434	2.1203176975250244
15	0.9034404158592224	0.10102047026157379	0.48228612542152405	0.327040433883667	1.980210542678833
16	0.8646895289421082	0.10189434140920639	0.4480935037136078	0.13066528737545013	1.851650595664978
17	0.7586720585823059	0.10499809682369232	0.4215715229511261	0.28485754132270813	1.774321436882019
18	0.5426164865493774	0.10698453336954117	0.4128226637840271	0.4751901924610138	1.7702298164367676
19	0.5831422805786133	0.10612363368272781	0.4034983217716217	0.5689283013343811	1.781618356704712
20	0.5095988512039185	0.10469409078359604	0.3937837481498718	0.6393918991088867	1.8090540170669556
21	0.36966338753700256	0.10258454829454422	0.3981504440307617	0.41009464859962463	1.8082348108291626
22	0.4321571886539459	0.09930502623319626	0.401228666305542	0.22162047028541565	1.8230922222137451
23	0.5246397256851196	0.09629122167825699	0.393627792596817	0.23799416422843933	1.8439686298370361
