time cmd_vx cmd_vy cmd_yaw roll pitch yaw joint_pos_0 joint_pos_1 joint_pos_2 joint_pos_3 joint_pos_4 joint_pos_5 joint_pos_6 joint_pos_7 joint_pos_8 joint_pos_9 joint_tau_0 joint_tau_1 joint_tau_2 joint_tau_3 joint_tau_4 joint_tau_5 joint_tau_6 joint_tau_7 joint_tau_8 joint_tau_9 leg_target_q_0 leg_target_q_1 leg_target_q_2 leg_target_q_3 leg_target_q_4 leg_target_q_5 leg_target_q_6 leg_target_q_7 leg_target_q_8 leg_target_q_9 arm_pos_0 arm_pos_1 arm_pos_2 arm_pos_3 arm_pos_4 arm_pos_5 arm_pos_6 arm_pos_7 arm_pos_8 arm_pos_9
0.010000 0.000000 0.000000 0.000000 -0.015066 -0.064692 -0.052494 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 -0.120000 0.150000 -0.280000 1.060000 -3.240000 -0.080000 0.230000 0.280000 1.910000 -1.020000 -0.006076 -0.006601 0.183037 -0.358579 0.167118 -0.038553 0.069485 0.195776 -0.223762 0.149068 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
0.020000 0.000000 0.000000 0.000000 -0.015023 -0.064229 -0.052505 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 0.100000 0.110000 -0.320000 1.100000 -3.240000 -0.010000 0.340000 0.240000 1.810000 -0.870000 -0.018156 0.043981 0.207451 -0.272209 0.234885 -0.003925 0.049645 0.184259 -0.282194 0.214777 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
0.030000 0.000000 0.000000 0.000000 -0.015023 -0.064229 -0.052505 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 -0.120000 0.190000 -0.290000 0.980000 -3.340000 0.000000 0.170000 0.280000 1.550000 -1.030000 -0.010474 0.056728 0.192081 -0.270452 0.248290 -0.013342 0.047626 0.190372 -0.283728 0.260152 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
0.040000 0.000000 0.000000 0.000000 -0.014985 -0.063892 -0.052479 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 -0.070000 0.310000 -0.350000 0.950000 -3.170000 0.040000 0.370000 0.290000 1.690000 -0.950000 -0.006291 0.058266 0.188383 -0.271563 0.266780 -0.014399 0.039069 0.191350 -0.271550 0.283562 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
0.050000 0.000000 0.000000 0.000000 -0.014985 -0.063892 -0.052479 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 0.110000 0.270000 -0.320000 1.020000 -3.330000 0.070000 0.210000 0.270000 1.450000 -0.910000 -0.006024 0.068296 0.186269 -0.261929 0.309309 -0.009134 0.034265 0.187233 -0.282947 0.301313 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
0.060000 0.000000 0.000000 0.000000 -0.014957 -0.063488 -0.052476 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 0.030000 0.190000 -0.280000 1.160000 -3.250000 0.080000 0.210000 0.360000 1.640000 -1.030000 -0.007264 0.060149 0.182541 -0.261235 0.289981 -0.013515 0.025662 0.184217 -0.271300 0.303543 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
0.070000 0.000000 0.000000 0.000000 -0.014957 -0.063488 -0.052476 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 -0.050000 0.190000 -0.340000 0.980000 -3.280000 0.070000 0.180000 0.240000 1.550000 -1.070000 -0.007431 0.058136 0.182344 -0.262228 0.291641 -0.013656 0.026900 0.183318 -0.269178 0.304136 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
0.080000 0.000000 0.000000 0.000000 -0.014840 -0.063027 -0.052500 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 -0.100000 0.150000 -0.310000 1.050000 -3.180000 -0.060000 0.150000 0.340000 1.600000 -1.070000 -0.007389 0.058593 0.182348 -0.261495 0.295862 -0.013461 0.027244 0.183397 -0.268560 0.308365 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
0.090000 0.000000 0.000000 0.000000 -0.014840 -0.063027 -0.052500 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 0.030000 0.310000 -0.330000 1.150000 -3.250000 -0.120000 0.280000 0.220000 1.980000 -0.950000 -0.007382 0.059855 0.181609 -0.260041 0.303285 -0.013225 0.027750 0.182830 -0.267682 0.315546 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
0.100000 0.000000 0.000000 0.000000 -0.014745 -0.062588 -0.052510 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 -0.090000 0.150000 -0.350000 0.910000 -3.250000 -0.130000 0.190000 0.340000 1.550000 -1.110000 -0.007345 0.063599 0.180334 -0.257523 0.308657 -0.012940 0.027042 0.182391 -0.269238 0.321370 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
0.110000 0.000000 0.000000 0.000000 -0.014745 -0.062588 -0.052510 0.001074 -0.000334 0.128255 -0.353997 0.169304 0.000353 -0.000606 0.121267 -0.332891 0.144660 -0.130000 0.110000 -0.320000 1.060000 -3.200000 0.000000 0.220000 0.250000 1.550000 -1.070000 -0.007190 0.066745 0.179256 -0.254667 0.321248 -0.012461 0.027363 0.182030 -0.268935 0.333980 -0.130612 0.187110 0.042434 0.691449 -1.225314 -0.138274 0.175212 0.046648 0.691459 -1.234908
