time cmd_vx cmd_vy cmd_yaw roll pitch yaw joint_pos_0 joint_pos_1 joint_pos_2 joint_pos_3 joint_pos_4 joint_pos_5 joint_pos_6 joint_pos_7 joint_pos_8 joint_pos_9 joint_tau_0 joint_tau_1 joint_tau_2 joint_tau_3 joint_tau_4 joint_tau_5 joint_tau_6 joint_tau_7 joint_tau_8 joint_tau_9 leg_target_q_0 leg_target_q_1 leg_target_q_2 leg_target_q_3 leg_target_q_4 leg_target_q_5 leg_target_q_6 leg_target_q_7 leg_target_q_8 leg_target_q_9 arm_pos_0 arm_pos_1 arm_pos_2 arm_pos_3 arm_pos_4 arm_pos_5 arm_pos_6 arm_pos_7 arm_pos_8 arm_pos_9
0.120000 0.000000 0.000000 0.000000 -0.004195 0.031918 -0.048714 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.050000 0.020000 -0.280000 -2.590000 -6.410000 0.050000 0.280000 -0.350000 -1.780000 -4.580000 -0.012887 0.025723 0.137204 -0.326239 -0.071238 -0.019266 0.026487 0.139083 -0.340243 -0.083806 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.130000 0.000000 0.000000 0.000000 -0.004195 0.031918 -0.048714 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.070000 -0.090000 -0.370000 -2.630000 -6.360000 -0.050000 0.440000 -0.470000 -1.920000 -4.780000 -0.012852 0.029475 0.136785 -0.321768 -0.054626 -0.018413 0.026409 0.137997 -0.338086 -0.066293 -0.124476 0.187110 0.041667 0.691449 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.140000 0.000000 0.000000 0.000000 -0.004264 0.032345 -0.048973 0.000199 0.007088 0.134199 -0.347262 0.228517 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.000000 -0.090000 -0.330000 -2.660000 -6.310000 -0.060000 0.400000 -0.470000 -1.930000 -4.810000 -0.012461 0.035717 0.136004 -0.315599 -0.034005 -0.017414 0.025566 0.136642 -0.336470 -0.044131 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.150000 0.000000 0.000000 0.000000 -0.004264 0.032345 -0.048973 0.000199 0.007088 0.134199 -0.347270 0.228529 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.190000 0.170000 -0.370000 -2.710000 -6.400000 0.020000 0.240000 -0.340000 -1.780000 -5.040000 -0.011736 0.045108 0.134766 -0.306722 -0.003043 -0.016198 0.024955 0.135325 -0.334614 -0.011514 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.160000 0.000000 0.000000 0.000000 -0.004343 0.032705 -0.049093 0.000199 0.007088 0.134199 -0.347270 0.228529 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.090000 -0.010000 -0.330000 -2.530000 -6.310000 0.100000 0.370000 -0.380000 -1.820000 -4.820000 -0.012814 0.030801 0.136865 -0.317436 -0.022300 -0.017451 0.030688 0.137060 -0.330213 -0.035908 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.170000 0.000000 0.000000 0.000000 -0.004343 0.032705 -0.049093 0.000199 0.007088 0.134199 -0.347286 0.228552 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.030000 0.020000 -0.370000 -2.510000 -6.430000 0.050000 0.370000 -0.350000 -1.740000 -4.730000 -0.012618 0.030788 0.136778 -0.317463 -0.022520 -0.017665 0.030681 0.137330 -0.330130 -0.036217 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.180000 0.000000 0.000000 0.000000 -0.004433 0.032937 -0.049133 0.000199 0.007088 0.134199 -0.347286 0.228552 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.050000 -0.010000 -0.370000 -2.660000 -6.330000 -0.010000 0.470000 -0.380000 -1.800000 -4.840000 -0.012425 0.030656 0.136694 -0.317435 -0.023213 -0.017821 0.030804 0.137552 -0.330205 -0.036477 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.190000 0.000000 0.000000 0.000000 -0.004433 0.032937 -0.049133 0.000199 0.007088 0.134199 -0.347295 0.228564 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.000000 0.060000 -0.370000 -2.740000 -6.420000 -0.170000 0.280000 -0.380000 -1.820000 -4.870000 -0.012250 0.030583 0.136617 -0.317472 -0.023698 -0.017935 0.030818 0.137716 -0.330244 -0.036549 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.200000 0.000000 0.000000 0.000000 -0.004535 0.033233 -0.049141 0.000199 0.007088 0.134199 -0.347295 0.228564 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.050000 0.060000 -0.170000 -2.630000 -6.360000 -0.100000 0.230000 -0.340000 -1.800000 -4.810000 -0.011973 0.030619 0.136258 -0.317768 -0.024207 -0.018227 0.030633 0.137931 -0.330199 -0.037086 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.210000 0.000000 0.000000 0.000000 -0.004597 0.033486 -0.049046 0.000199 0.007088 0.134199 -0.347295 0.228564 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.150000 0.060000 -0.450000 -2.550000 -6.410000 0.020000 0.400000 -0.350000 -1.770000 -4.980000 -0.011664 0.030673 0.135680 -0.318224 -0.025180 -0.018544 0.030397 0.137942 -0.330312 -0.038466 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.220000 0.000000 0.000000 0.000000 -0.004597 0.033486 -0.049046 0.000199 0.007088 0.134199 -0.347295 0.228564 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.040000 0.020000 -0.450000 -2.580000 -6.280000 -0.060000 0.280000 -0.340000 -1.640000 -4.850000 -0.011397 0.030699 0.135306 -0.318532 -0.025799 -0.018849 0.030187 0.137964 -0.330453 -0.039537 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.230000 0.000000 0.000000 0.000000 -0.004605 0.033793 -0.048801 0.000199 0.007088 0.134199 -0.347303 0.228576 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.030000 -0.040000 -0.210000 -2.630000 -6.350000 0.060000 0.420000 -0.310000 -1.850000 -4.840000 -0.011081 0.030667 0.135041 -0.318795 -0.026220 -0.019248 0.030047 0.138221 -0.330433 -0.040588 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.240000 0.000000 0.000000 0.000000 -0.004605 0.033793 -0.048801 0.000199 0.007088 0.134199 -0.347303 0.228576 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.030000 -0.010000 -0.370000 -2.600000 -6.280000 -0.020000 0.350000 -0.550000 -1.920000 -4.780000 -0.010858 0.030656 0.134863 -0.318876 -0.026133 -0.019534 0.030032 0.138370 -0.330402 -0.041350 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.250000 0.000000 0.000000 0.000000 -0.004625 0.034074 -0.048614 0.000199 0.007088 0.134199 -0.347303 0.228576 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.050000 0.130000 -0.290000 -2.660000 -6.400000 0.060000 0.440000 -0.390000 -1.710000 -4.730000 -0.011017 0.030616 0.135295 -0.318581 -0.026146 -0.019370 0.030190 0.138328 -0.330509 -0.041511 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.260000 0.000000 0.000000 0.000000 -0.004625 0.034074 -0.048614 0.000199 0.007088 0.134199 -0.347303 0.228576 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.030000 -0.040000 -0.290000 -2.660000 -6.360000 -0.090000 0.260000 -0.340000 -1.660000 -4.810000 -0.011188 0.030477 0.135593 -0.318451 -0.026385 -0.019155 0.030381 0.138275 -0.330481 -0.041240 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.270000 0.000000 0.000000 0.000000 -0.004651 0.034268 -0.048574 0.000199 0.007088 0.134199 -0.347303 0.228576 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.000000 -0.010000 -0.370000 -2.580000 -6.330000 -0.130000 0.330000 -0.380000 -1.730000 -4.730000 -0.011533 0.030530 0.135847 -0.318460 -0.026594 -0.018824 0.030320 0.137903 -0.330615 -0.041673 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.280000 0.000000 0.000000 0.000000 -0.004651 0.034268 -0.048574 0.000199 0.007088 0.134199 -0.347311 0.228588 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.090000 -0.090000 -0.210000 -2.720000 -6.290000 -0.090000 0.280000 -0.310000 -1.640000 -4.840000 -0.011837 0.030629 0.136028 -0.318483 -0.026704 -0.018504 0.030231 0.137608 -0.330670 -0.041848 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.290000 0.000000 0.000000 0.000000 -0.004698 0.034516 -0.048598 0.000199 0.007088 0.134199 -0.347311 0.228588 0.001081 -0.003612 0.139355 -0.338676 0.207802 0.150000 -0.120000 -0.370000 -2.550000 -6.310000 0.090000 0.280000 -0.470000 -1.830000 -4.980000 -0.012100 0.030609 0.136141 -0.318520 -0.027240 -0.018221 0.030234 0.137276 -0.330821 -0.042011 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
0.300000 0.000000 0.000000 0.000000 -0.004698 0.034516 -0.048598 0.000199 0.007088 0.134199 -0.347311 0.228588 0.001081 -0.003612 0.139355 -0.338676 0.207802 -0.170000 -0.090000 -0.410000 -2.660000 -6.450000 -0.120000 0.260000 -0.470000 -1.770000 -4.700000 -0.012256 0.030507 0.136169 -0.318537 -0.027538 -0.018096 0.030347 0.137108 -0.330888 -0.041988 -0.124476 0.187110 0.041667 0.691832 -1.232216 -0.129837 0.177130 0.047798 0.692226 -1.226088
