time	left_foot_x	left_foot_y	left_foot_z	right_foot_x	right_foot_y	right_foot_z
0.020000	-0.038368	0.221027	0.084663	0.242283	-0.452289	0.187360
0.040000	-0.038330	0.221031	0.079061	0.242317	-0.452247	0.181666
0.060000	-0.038246	0.221052	0.069518	0.242395	-0.452181	0.172078
0.080000	-0.038109	0.221090	0.056024	0.242517	-0.452116	0.158589
0.100000	-0.037211	0.222245	0.041516	0.242561	-0.451601	0.141436
0.120000	-0.036081	0.224465	0.038490	0.241484	-0.447316	0.122274
0.140000	-0.035961	0.224527	0.039945	0.238136	-0.437528	0.102123
0.160000	-0.035939	0.224351	0.041037	0.232165	-0.422376	0.081897
0.180000	-0.035934	0.224326	0.041492	0.224221	-0.402868	0.062710
0.200000	-0.035977	0.224376	0.041589	0.221831	-0.390205	0.051464
0.220000	-0.036207	0.225704	0.042667	0.223277	-0.386311	0.049741
0.240000	-0.037395	0.227447	0.044697	0.220308	-0.381924	0.051422
0.260000	-0.038167	0.223351	0.047554	0.217517	-0.379535	0.052923
0.280000	-0.035423	0.212896	0.050381	0.218235	-0.379160	0.051379
0.300000	-0.028619	0.191963	0.052834	0.221366	-0.378847	0.046651
0.320000	-0.019157	0.159976	0.054569	0.224982	-0.378210	0.040932
0.340000	-0.008914	0.119043	0.055890	0.225530	-0.378736	0.040092
0.360000	0.001080	0.070771	0.057228	0.224933	-0.379955	0.041146
0.380000	0.010407	0.022202	0.056422	0.224346	-0.381933	0.043770
0.400000	0.016916	-0.018392	0.048319	0.223863	-0.387454	0.051312
0.420000	0.019796	-0.037658	0.040728	0.221831	-0.401403	0.067110
0.440000	0.020375	-0.041266	0.040728	0.218735	-0.425972	0.095161
0.460000	0.020558	-0.042608	0.041395	0.218194	-0.459736	0.139362
0.480000	0.020530	-0.043504	0.041756	0.222018	-0.501085	0.200453
0.500000	0.020254	-0.044560	0.041738	0.231656	-0.551992	0.277736
0.520000	0.019600	-0.045755	0.041601	0.247087	-0.614323	0.369616
0.540000	0.018545	-0.046782	0.041618	0.269283	-0.688934	0.471478
0.560000	0.017525	-0.047940	0.041767	0.300145	-0.775300	0.580805
0.580000	0.017256	-0.049035	0.042180	0.340005	-0.867914	0.694809
0.600000	0.017649	-0.049894	0.042779	0.389508	-0.957936	0.812600
0.620000	0.019031	-0.054421	0.045789	0.443964	-1.026462	0.931867
0.640000	0.021956	-0.068888	0.052323	0.484658	-1.057941	1.036584
0.660000	0.025552	-0.091897	0.059469	0.498485	-1.067660	1.123434
0.680000	0.025930	-0.120498	0.063737	0.491969	-1.071395	1.203017
0.700000	0.021780	-0.152111	0.062674	0.472169	-1.071428	1.277532
0.720000	0.015921	-0.183858	0.055231	0.445317	-1.064784	1.342013
0.740000	0.013718	-0.197462	0.044200	0.420573	-1.052373	1.394419
0.760000	0.011339	-0.200587	0.039826	0.405178	-1.040463	1.434961
0.780000	0.010363	-0.200278	0.040435	0.398687	-1.032698	1.463565
0.800000	0.010417	-0.200129	0.041467	0.395690	-1.028314	1.480390
0.820000	0.011012	-0.200503	0.042339	0.392184	-1.027549	1.485482
0.840000	0.011758	-0.201084	0.043079	0.386541	-1.030194	1.477877
0.860000	0.012533	-0.201658	0.043732	0.378952	-1.035483	1.457112
0.880000	0.013110	-0.201986	0.044248	0.370085	-1.042235	1.423662
0.900000	0.013366	-0.201886	0.044625	0.360129	-1.048494	1.377475
0.920000	0.013288	-0.201422	0.044899	0.349436	-1.052128	1.317964
