# time tau_applied_0 tau_applied_1 tau_applied_2 tau_applied_3 tau_applied_4 tau_applied_5 tau_applied_6 tau_applied_7 tau_applied_8 tau_applied_9 tau_applied_10 tau_applied_11 tau_applied_12 tau_applied_13 tau_applied_14 tau_applied_15 tau_applied_16 tau_applied_17 tau_applied_18 tau_applied_19 tau_applied_20 tau_applied_21 tau_applied_22 tau_applied_23
0.560000 -7.482653 7.323374 -1.853991 -6.546020 -0.920827 0.256927 34.533203 -6.966190 10.054556 12.862046 -0.244597 -0.033459 4.968063 5.469363 -0.709222 4.369571 -0.194731 -2.322701 0.195472 1.677827 3.935976 -0.068873 -0.838190 -0.155266
0.580000 -19.598310 6.986142 -1.954979 -9.277562 -0.081173 -0.384224 29.415478 -7.805238 8.830602 14.213566 0.669788 -1.204476 -0.059888 2.953807 0.975341 4.474479 -1.154405 -1.407883 -0.135858 -0.223819 2.109144 0.318042 -1.404446 -0.043260
0.600000 -12.551603 7.728374 -4.721753 -5.341021 -0.714519 0.934733 35.064003 -8.709312 6.932695 15.670200 0.249177 -1.782178 3.725303 3.559619 0.381293 4.654905 -0.149011 -2.300364 0.111015 0.938549 3.142001 -0.539289 -2.443983 0.442544
0.620000 -11.106205 5.179782 -5.271591 -6.824621 -0.907206 0.977849 36.303600 -6.661400 11.016754 11.738931 0.777261 -0.772264 3.598423 6.245012 -0.384074 3.713397 0.259182 -1.375113 0.214772 1.534159 4.926417 0.150228 -1.228899 -0.177376
0.640000 -13.952975 10.092729 -3.387254 0.362521 -1.671386 0.570513 33.968410 -11.507809 10.830017 15.535606 0.545676 -1.265197 3.737847 5.844397 0.537596 5.221059 -1.173984 -1.805940 -0.245754 0.809939 4.267218 -0.107763 -2.067347 0.205684
0.660000 -6.962237 5.878464 -1.568342 -5.430981 -0.624988 1.133878 35.699585 -12.008244 11.020443 13.925877 0.804674 -1.786921 5.269777 5.438990 -1.118605 5.084236 0.313677 -2.785486 0.083651 0.671717 5.450703 -0.120183 -2.918193 0.456470
0.680000 -7.748278 5.567943 -2.688246 -2.798180 -0.935328 0.224460 33.009144 -10.913109 11.623253 7.325822 0.842051 -1.613328 1.821877 2.519652 -0.397754 4.859168 -0.523981 -0.945770 0.113402 1.618309 4.974274 0.168150 -1.416433 -0.395921
0.700000 -4.089780 5.444526 -4.366696 -1.642701 -0.812273 0.560044 32.739922 -13.633780 11.586737 13.238046 -0.013627 -1.722941 5.526182 1.681873 -3.084626 4.442643 0.894300 -2.774156 -0.066047 0.931183 4.213079 0.441738 -2.212375 0.414784
0.720000 -1.291848 5.170847 -4.242613 3.680185 -0.896025 0.747107 29.648964 -11.587134 13.229360 10.175585 0.174010 -1.514842 4.889681 2.496457 -2.849926 5.324898 0.063446 -2.804548 0.102571 0.579582 5.213675 -0.316277 -1.906716 0.197071
0.740000 4.264577 5.849176 -3.631735 3.399301 -0.812054 1.028908 28.402302 -10.573494 14.050190 7.514722 0.460010 -1.526638 5.044989 -0.086642 -3.048518 6.186430 0.224142 -2.664222 0.061641 0.548071 6.592694 0.077532 -3.113786 0.038170
0.760000 10.227893 7.689905 -4.928456 5.362445 -0.820592 0.726919 24.992546 -12.098438 10.460884 6.251715 -0.570680 -1.948777 5.111236 -0.364498 -3.079432 5.756216 0.092751 -2.460895 0.099640 0.584144 6.718999 0.129893 -1.805445 0.057603
