time jpLt jpLc tpLt mpLc jrLt jrLc trLt mrLc jyLt jyLc tyLt myLc jkLt jkLc tkLt mkLc japLt japLc tapLt mapLc jarLt jarLc tarLt marLc jpRt jpRc tpRt mpRc jrRt jrRc trRt mrRc jyRt jyRc tyRt myRc jkRt jkRc tkRt mkRc japRt japRc tapRt mapRc jarRt jarRc tarRt marRc jwrt jwrc twrt mwrc jwyt jwyc twyt mwyc jspLt jspLc tspLt mspLt jsrLt jsrLc tsrLt msrLt jsyLt jsyLc tsyLt msyLt jeLt jeLc teLt meLt jwrLt jwrLc twrLt mwrLt jspRt jspRc tspRt mspRt jsrRt jsrRc tsrRt msrRt jsyRt jsyRc tsyRt msyRt jeRt jeRc teRt meRt jwrRt jwrRc twrRt mwrRt
0.400000 -0.483259 -0.486878 0.250000 0.250000 0.229475 0.153747 5.270000 5.270000 0.035233 0.060619 10.679999 10.679999 0.765110 0.825981 -2.800000 -2.800000 -0.269847 -0.333847 -5.290000 -5.290000 -0.122209 -0.081024 -0.820000 -0.820000 -0.421558 -0.418048 -0.290000 -0.290000 -0.151958 -0.033075 -8.809999 -8.809999 -0.156964 -0.195573 -15.490000 -15.490000 0.642007 0.776365 -7.470000 -7.470000 -0.297805 -0.364759 -10.250000 -10.250000 0.104062 -0.027799 2.430000 2.430000 0.024030 0.022417 -1.200000 -1.200000 -0.007252 -0.015028 -0.310000 -0.310000 -0.016793 0.009432 0.000000 0.000000 0.240057 0.219952 0.000000 0.000000 -0.059412 -0.046632 0.000000 0.000000 0.276703 0.248171 0.000000 0.000000 -0.049000 -0.045719 0.000000 0.000000 -0.075479 -0.031628 0.000000 0.000000 -0.228619 -0.204333 0.000000 0.000000 -0.186297 -0.157871 0.000000 0.000000 0.434192 0.371837 0.000000 0.000000 -0.131022 -0.124040 0.000000 0.000000
0.420000 -0.495091 -0.485620 -0.610000 -0.610000 0.217836 0.154207 4.080000 4.080000 0.038990 0.061040 9.220000 9.220000 0.760722 0.826957 -3.750000 -3.750000 -0.302667 -0.332439 -4.970000 -4.970000 -0.116747 -0.081163 -0.660000 -0.660000 -0.432637 -0.418938 -0.940000 -0.940000 -0.154012 -0.036393 -7.500000 -7.500000 -0.156943 -0.196659 -16.930000 -16.930000 0.610520 0.778167 -10.770000 -10.770000 -0.355862 -0.368901 -11.469999 -11.469999 0.115723 -0.023773 2.320000 2.320000 0.019109 0.025961 -1.490000 -1.490000 0.000046 -0.011504 0.380000 0.380000 -0.013317 0.009555 0.000000 0.000000 0.247434 0.220558 0.000000 0.000000 -0.064872 -0.047238 0.000000 0.000000 0.279684 0.248171 0.000000 0.000000 -0.051899 -0.045719 0.000000 0.000000 -0.079644 -0.031628 0.000000 0.000000 -0.221929 -0.202540 0.000000 0.000000 -0.185128 -0.160665 0.000000 0.000000 0.465697 0.385236 0.000000 0.000000 -0.134777 -0.127187 0.000000 0.000000
0.440000 -0.474591 -0.487415 0.910000 0.910000 0.230198 0.157271 4.880000 4.880000 0.036950 0.063693 10.610000 10.610000 0.767858 0.828104 -4.350000 -4.350000 -0.306903 -0.330783 -4.300000 -4.300000 -0.114186 -0.081365 -0.570000 -0.570000 -0.433443 -0.422435 -1.300000 -1.300000 -0.148806 -0.039682 -6.960000 -6.960000 -0.157572 -0.201926 -16.490000 -16.490000 0.615749 0.778340 -11.309999 -11.309999 -0.396418 -0.369859 -10.400000 -10.400000 0.107748 -0.024423 2.510000 2.510000 0.016632 0.024532 -0.740000 -0.740000 -0.008546 -0.008763 -0.370000 -0.370000 0.007742 0.009677 0.000000 0.000000 0.232809 0.222735 0.000000 0.000000 -0.047834 -0.048181 0.000000 0.000000 0.280107 0.248643 0.000000 0.000000 -0.053195 -0.045944 0.000000 0.000000 -0.084069 -0.031628 0.000000 0.000000 -0.237469 -0.202167 0.000000 0.000000 -0.200195 -0.162830 0.000000 0.000000 0.468858 0.402199 0.000000 0.000000 -0.127252 -0.123062 0.000000 0.000000
0.460000 -0.481321 -0.486188 0.450000 0.450000 0.226312 0.160188 3.700000 3.700000 0.036558 0.065925 10.030000 10.030000 0.760897 0.831873 -4.820000 -4.820000 -0.338346 -0.325340 -4.250000 -4.250000 -0.114097 -0.081461 -0.560000 -0.560000 -0.452781 -0.419766 -2.400000 -2.400000 -0.154635 -0.040593 -6.630000 -6.630000 -0.151855 -0.203443 -17.369999 -17.369999 0.580784 0.777889 -14.120000 -14.120000 -0.485281 -0.372119 -11.360000 -11.360000 0.115986 -0.024433 2.630000 2.630000 0.022446 0.021576 -0.330000 -0.330000 -0.003906 -0.008234 -0.040000 -0.040000 0.008157 0.010414 0.000000 0.000000 0.246537 0.222304 0.000000 0.000000 -0.039253 -0.046982 0.000000 0.000000 0.277279 0.248643 0.000000 0.000000 -0.052881 -0.045944 0.000000 0.000000 -0.074456 -0.031628 0.000000 0.000000 -0.240534 -0.203588 0.000000 0.000000 -0.204471 -0.166044 0.000000 0.000000 0.488949 0.417711 0.000000 0.000000 -0.126635 -0.120679 0.000000 0.000000
0.480000 -0.470252 -0.486188 1.360000 1.360000 0.225456 0.160864 4.030000 4.030000 0.043317 0.066601 9.380000 9.380000 0.766804 0.831906 -4.790000 -4.790000 -0.346107 -0.325292 -3.840000 -3.840000 -0.112203 -0.081716 -0.520000 -0.520000 -0.447292 -0.419935 -2.230000 -2.230000 -0.140767 -0.039252 -6.110000 -6.110000 -0.156887 -0.203159 -15.559999 -15.559999 0.575307 0.775947 -16.190001 -16.190001 -0.519134 -0.374923 -10.719999 -10.719999 0.121835 -0.024433 2.690000 2.690000 0.016748 0.022554 -0.250000 -0.250000 -0.010284 -0.005689 -0.830000 -0.830000 0.028855 0.011641 0.000000 0.000000 0.239705 0.222525 0.000000 0.000000 -0.031341 -0.046760 0.000000 0.000000 0.279465 0.248891 0.000000 0.000000 -0.054100 -0.046191 0.000000 0.000000 -0.065704 -0.031628 0.000000 0.000000 -0.229153 -0.204542 0.000000 0.000000 -0.208469 -0.170980 0.000000 0.000000 0.506489 0.432032 0.000000 0.000000 -0.120675 -0.111371 0.000000 0.000000
0.500000 -0.477239 -0.486188 0.770000 0.770000 0.229133 0.163301 4.630000 4.630000 0.044708 0.069038 9.500000 9.500000 0.753456 0.831857 -5.820000 -5.820000 -0.360846 -0.325221 -4.730000 -4.730000 -0.111383 -0.081716 -0.550000 -0.550000 -0.449118 -0.419291 -2.460000 -2.460000 -0.149502 -0.038694 -6.320000 -6.320000 -0.149244 -0.201798 -17.209999 -17.209999 0.562981 0.776357 -17.859999 -17.859999 -0.580091 -0.374332 -10.510000 -10.510000 0.116096 -0.024433 2.700000 2.700000 0.026687 0.023543 -0.070000 -0.070000 -0.001387 -0.004700 0.200000 0.200000 0.031969 0.013482 0.000000 0.000000 0.247866 0.222525 0.000000 0.000000 -0.017719 -0.045619 0.000000 0.000000 0.277775 0.248936 0.000000 0.000000 -0.054274 -0.046236 0.000000 0.000000 -0.059999 -0.031751 0.000000 0.000000 -0.232870 -0.207546 0.000000 0.000000 -0.214453 -0.177593 0.000000 0.000000 0.513718 0.448511 0.000000 0.000000 -0.111999 -0.115800 0.000000 0.000000
0.520000 -0.469999 -0.486188 1.340000 1.340000 0.236218 0.165367 4.320000 4.320000 0.047278 0.071103 10.030000 10.030000 0.751862 0.831840 -6.110000 -6.110000 -0.368447 -0.325198 -4.620000 -4.620000 -0.105760 -0.081716 -0.430000 -0.430000 -0.454129 -0.419291 -2.900000 -2.900000 -0.135827 -0.038263 -4.820000 -4.820000 -0.152877 -0.202523 -16.139999 -16.139999 0.544057 0.776316 -19.869999 -19.869999 -0.605118 -0.374391 -11.370000 -11.370000 0.120049 -0.024433 2.750000 2.750000 0.016639 0.025579 -0.680000 -0.680000 -0.003392 -0.002449 -0.470000 -0.470000 0.055563 0.014463 0.000000 0.000000 0.234746 0.223166 0.000000 0.000000 -0.010177 -0.043535 0.000000 0.000000 0.276785 0.249014 0.000000 0.000000 -0.056982 -0.046315 0.000000 0.000000 -0.047565 -0.031874 0.000000 0.000000 -0.224007 -0.208093 0.000000 0.000000 -0.218742 -0.183263 0.000000 0.000000 0.522816 0.460978 0.000000 0.000000 -0.107262 -0.110753 0.000000 0.000000
0.540000 -0.469924 -0.486188 1.380000 1.380000 0.236082 0.168930 4.630000 4.630000 0.050147 0.075685 9.760000 9.760000 0.754667 0.831816 -5.470000 -5.470000 -0.344240 -0.325162 -4.880000 -4.880000 -0.106732 -0.081716 -0.450000 -0.450000 -0.450631 -0.419291 -2.580000 -2.580000 -0.138139 -0.038018 -4.710000 -4.710000 -0.146165 -0.201887 -16.670000 -16.670000 0.550270 0.776316 -19.139999 -19.139999 -0.600628 -0.374391 -10.929999 -10.929999 0.120310 -0.024433 2.710000 2.710000 0.033369 0.025755 0.510000 0.510000 0.000723 -0.002214 0.210000 0.210000 0.071544 0.017286 0.000000 0.000000 0.248336 0.222840 0.000000 0.000000 -0.004008 -0.040089 0.000000 0.000000 0.282363 0.249385 0.000000 0.000000 -0.058764 -0.046686 0.000000 0.000000 -0.040800 -0.031628 0.000000 0.000000 -0.227816 -0.209222 0.000000 0.000000 -0.224426 -0.188001 0.000000 0.000000 0.532680 0.473309 0.000000 0.000000 -0.104807 -0.115778 0.000000 0.000000
0.560000 -0.472614 -0.486188 0.780000 0.780000 0.246274 0.172777 3.750000 3.750000 0.048688 0.079434 10.570000 10.570000 0.748007 0.831726 -5.900000 -5.900000 -0.346038 -0.325032 -5.170000 -5.170000 -0.100692 -0.081716 -0.340000 -0.340000 -0.441122 -0.419291 -1.850000 -1.850000 -0.125100 -0.036354 -4.300000 -4.300000 -0.151963 -0.202493 -15.110000 -15.110000 0.555127 0.776316 -19.230000 -19.230000 -0.613441 -0.374391 -10.360000 -10.360000 0.115122 -0.023943 2.610000 2.610000 0.022782 0.030072 -1.290000 -1.290000 0.005786 -0.000011 -0.120000 -0.120000 0.081708 0.023667 0.000000 0.000000 0.242348 0.223981 0.000000 0.000000 -0.004242 -0.038157 0.000000 0.000000 0.280982 0.250487 0.000000 0.000000 -0.061227 -0.047787 0.000000 0.000000 -0.023119 -0.030769 0.000000 0.000000 -0.229499 -0.207849 0.000000 0.000000 -0.222283 -0.194358 0.000000 0.000000 0.538879 0.481830 0.000000 0.000000 -0.101043 -0.107639 0.000000 0.000000
0.580000 -0.481275 -0.486157 0.470000 0.470000 0.243878 0.177662 3.560000 3.560000 0.057507 0.084240 10.080000 10.080000 0.743799 0.831603 -6.100000 -6.100000 -0.335500 -0.324855 -5.420000 -5.420000 -0.105221 -0.081716 -0.390000 -0.390000 -0.439247 -0.419291 -1.570000 -1.570000 -0.123041 -0.032360 -4.320000 -4.320000 -0.148137 -0.201710 -15.429999 -15.429999 0.546574 0.775988 -19.730000 -19.730000 -0.613256 -0.373918 -10.980000 -10.980000 0.112067 -0.023943 2.480000 2.480000 0.030497 0.031913 -0.730000 -0.730000 0.005519 0.000870 -0.250000 -0.250000 0.094920 0.032012 0.000000 0.000000 0.245394 0.224248 0.000000 0.000000 -0.003073 -0.036585 0.000000 0.000000 0.282326 0.255051 0.000000 0.000000 -0.065023 -0.053835 0.000000 0.000000 -0.018136 -0.029419 0.000000 0.000000 -0.231965 -0.207814 0.000000 0.000000 -0.234046 -0.198770 0.000000 0.000000 0.554334 0.491013 0.000000 0.000000 -0.099654 -0.101760 0.000000 0.000000
0.600000 -0.485290 -0.486157 -0.000000 -0.000000 0.249058 0.182273 3.640000 3.640000 0.059974 0.088851 9.889999 9.889999 0.737171 0.832053 -6.470000 -6.470000 -0.341673 -0.323375 -5.800000 -5.800000 -0.108505 -0.081716 -0.490000 -0.490000 -0.425925 -0.418800 -0.760000 -0.760000 -0.123528 -0.027221 -4.710000 -4.710000 -0.148619 -0.200330 -15.880000 -15.880000 0.559138 0.775127 -19.219999 -19.219999 -0.626194 -0.372675 -9.750000 -9.750000 0.106127 -0.023933 2.450000 2.450000 0.040377 0.036915 -0.700000 -0.700000 0.011748 0.003718 0.680000 0.680000 0.089870 0.041216 0.000000 0.000000 0.252659 0.224016 0.000000 0.000000 -0.003860 -0.035235 0.000000 0.000000 0.282975 0.258681 0.000000 0.000000 -0.067714 -0.057263 0.000000 0.000000 -0.001714 -0.027578 0.000000 0.000000 -0.231531 -0.208175 0.000000 0.000000 -0.232483 -0.203602 0.000000 0.000000 0.559589 0.504086 0.000000 0.000000 -0.092610 -0.094128 0.000000 0.000000
0.620000 -0.491989 -0.486157 -0.490000 -0.490000 0.251317 0.185611 3.590000 3.590000 0.062134 0.091210 10.270000 10.270000 0.736371 0.832144 -6.510000 -6.510000 -0.338124 -0.323245 -6.090000 -6.090000 -0.109151 -0.081716 -0.500000 -0.500000 -0.423936 -0.417281 -0.470000 -0.470000 -0.117470 -0.025479 -4.390000 -4.390000 -0.148946 -0.198607 -15.059999 -15.059999 0.559588 0.775045 -18.969999 -18.969999 -0.619355 -0.372604 -9.889999 -9.889999 0.099525 -0.023933 2.290000 2.290000 0.037306 0.040645 -0.700000 -0.700000 0.012700 0.006352 0.250000 0.250000 0.113261 0.046861 0.000000 0.000000 0.247850 0.224458 0.000000 0.000000 -0.010255 -0.034652 0.000000 0.000000 0.286891 0.258962 0.000000 0.000000 -0.072424 -0.057544 0.000000 0.000000 0.009279 -0.025492 0.000000 0.000000 -0.232756 -0.208850 0.000000 0.000000 -0.239415 -0.206163 0.000000 0.000000 0.574945 0.514923 0.000000 0.000000 -0.092803 -0.099074 0.000000 0.000000
0.640000 -0.489667 -0.485896 -0.260000 -0.260000 0.257366 0.187931 3.410000 3.410000 0.058542 0.093530 10.870000 10.870000 0.743849 0.832160 -5.620000 -5.620000 -0.305579 -0.323222 -6.300000 -6.300000 -0.112452 -0.081716 -0.590000 -0.590000 -0.409382 -0.415916 0.450000 0.450000 -0.119238 -0.025430 -4.050000 -4.050000 -0.145135 -0.198656 -15.530000 -15.530000 0.576044 0.774972 -17.080000 -17.080000 -0.584859 -0.372640 -9.500000 -9.500000 0.087875 -0.023719 2.150000 2.150000 0.045217 0.039861 -0.270000 -0.270000 0.015093 0.008662 0.860000 0.860000 0.120293 0.059501 0.000000 0.000000 0.254166 0.224446 0.000000 0.000000 -0.016227 -0.034641 0.000000 0.000000 0.286898 0.259727 0.000000 0.000000 -0.076945 -0.058219 0.000000 0.000000 0.021005 -0.021565 0.000000 0.000000 -0.233837 -0.208850 0.000000 0.000000 -0.241665 -0.209818 0.000000 0.000000 0.577589 0.526321 0.000000 0.000000 -0.096302 -0.089159 0.000000 0.000000
0.660000 -0.499156 -0.484700 -1.250000 -1.250000 0.257622 0.190074 2.980000 2.980000 0.056997 0.095380 11.380000 11.380000 0.745305 0.832955 -5.770000 -5.770000 -0.292540 -0.322074 -6.280000 -6.280000 -0.112366 -0.081716 -0.540000 -0.540000 -0.405005 -0.412112 0.400000 0.400000 -0.116027 -0.025067 -4.740000 -4.740000 -0.152057 -0.199018 -14.469999 -14.469999 0.579052 0.774972 -16.570000 -16.570000 -0.559218 -0.372640 -9.580000 -9.580000 0.087770 -0.023719 1.950000 1.950000 0.041529 0.040762 -0.870000 -0.870000 0.019939 0.008642 1.290000 1.290000 0.128819 0.071282 0.000000 0.000000 0.257134 0.225203 0.000000 0.000000 -0.025998 -0.035398 0.000000 0.000000 0.282369 0.259839 0.000000 0.000000 -0.081381 -0.058331 0.000000 0.000000 0.033174 -0.016288 0.000000 0.000000 -0.235467 -0.208594 0.000000 0.000000 -0.235483 -0.213614 0.000000 0.000000 0.586187 0.534358 0.000000 0.000000 -0.096035 -0.082449 0.000000 0.000000
